assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
3.7514;16861;-0.0116;0.154;1.7828;1.1623;10.65;-921.7651;5.9739;-7409.0904;9.1629;715168539;CASN4;16861
3.7514;16861;-0.0116;0.154;1.7828;1.1623;13.84;-1197.8619;7.7633;-9628.3391;11.9074;715168539;CASN4;16861
3.7514;16861;-0.0116;0.154;1.7828;1.1623;10.2;-882.8173;5.7215;-7096.0303;8.7757;715168539;CASN3;16861
3.8002;16861;0.0417;0.2304;1.8343;1.2011;17.98;431.4286;9.8021;581.2118;14.9699;715168539;CASN4;16861
3.8002;16861;0.0417;0.2304;1.8343;1.2011;13.8;331.1299;7.5233;446.0914;11.4897;715168539;CASN4;16861
4.1935;16861;0.06;0.2025;1.9368;1.3599;8.01;133.4599;4.1356;237.4016;5.89;715168539;CASN3;16861
4.5115;16861;0.1078;0.2738;1.9823;1.3966;8.0;74.23;4.0356;49.8584;5.7281;715168539;CASN3;16861
4.5112;16861;-0.0398;0.0494;1.8271;1.4274;12.0;-301.3562;6.5679;57.1697;8.4071;715168539;CASN4;16861
4.5392;16861;-0.1118;-0.0487;1.7858;1.4539;12.0;-107.2927;6.7198;50.1333;8.2537;715168539;CASN4;16861
4.5686;16861;-0.3091;-0.2477;1.6214;1.4897;12.02;-38.8886;7.4135;57.2443;8.0686;715168539;CASN4;16861
4.6519;16861;-0.1667;-0.0938;1.7424;1.5179;12.02;-72.1017;6.8987;153.0058;7.9189;715168539;CASN4;16861
4.6519;16861;-0.1667;-0.0938;1.7424;1.5179;8.01;-48.0478;4.5972;101.9614;5.277;715168539;CASN3;16861
4.6982;16861;-0.0519;0.059;1.8158;1.5297;20.0;-385.5148;11.0145;172.5439;13.0742;715168539;CASN3;16861
4.6982;16861;-0.0519;0.059;1.8158;1.5297;18.0;-346.9633;9.913;155.2895;11.7668;715168539;CASN3;16861
4.9765;16861;0.1674;0.3793;1.7577;1.5717;12.0;71.7045;6.8272;30.2022;7.6351;715168539;CASN4;16861
4.9765;16861;0.1674;0.3793;1.7577;1.5717;10.0;59.7537;5.6893;25.1685;6.3626;715168539;CASN4;16861
5.2988;16861;0.1662;0.3986;1.8415;1.5992;12.7;76.4127;6.8967;28.0354;7.9412;715168539;CASN3;16861
5.2988;16861;0.1662;0.3986;1.8415;1.5992;15.2;91.4545;8.2543;33.5542;9.5045;715168539;CASN3;16861
4.6865;16861;0.1517;0.3123;1.81;1.4567;15.01;98.9327;8.2927;82.7415;10.3039;799990376;CASN3;16861
4.3182;16861;0.1117;0.2375;1.8539;1.3615;12.81;114.6755;6.9097;779.0657;9.4084;927520000;CASN3;16861
