assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.11;9.4541;0.5045;4.4289;1.0043;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.97;9.3882;0.501;4.3981;0.9973;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.03;9.4165;0.5025;4.4113;1.0003;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.03;9.4165;0.5025;4.4113;1.0003;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.71;9.266;0.4944;4.3408;0.9843;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.65;9.2378;0.4929;4.3276;0.9813;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.56;9.1955;0.4907;4.3078;0.9768;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.71;9.266;0.4944;4.3408;0.9843;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.33;9.5575;0.51;4.4774;1.0153;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.18;9.487;0.5062;4.4443;1.0078;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.18;9.487;0.5062;4.4443;1.0078;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.38;9.581;0.5112;4.4884;1.0178;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;21.03;9.8866;0.5275;4.6315;1.0502;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.58;9.675;0.5163;4.5324;1.0277;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.56;9.1955;0.4907;4.3078;0.9768;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.53;9.1814;0.4899;4.3012;0.9753;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.64;9.2331;0.4927;4.3254;0.9808;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;20.28;9.534;0.5087;4.4663;1.0128;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.28;9.0639;0.4836;4.2461;0.9628;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;19.5;9.1673;0.4892;4.2946;0.9738;1690830215;VIVT3;17671
57.0209;17671;2.1271;2.6492;39.864;20.0244;21.27;9.9994;0.5336;4.6844;1.0622;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.09;9.4373;0.4707;4.2759;0.9492;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.12;9.4521;0.4715;4.2826;0.9507;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.15;9.467;0.4722;4.2893;0.9522;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.15;9.467;0.4722;4.2893;0.9522;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.23;9.0122;0.4495;4.0832;0.9065;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.43;9.111;0.4545;4.128;0.9164;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.49;9.1407;0.456;4.1415;0.9194;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.4;9.0962;0.4537;4.1213;0.9149;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.8;9.2939;0.4636;4.2109;0.9348;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.3;9.0468;0.4513;4.0989;0.91;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.24;9.0171;0.4498;4.0855;0.907;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.68;9.2346;0.4606;4.184;0.9289;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.55;9.1704;0.4574;4.1549;0.9224;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.56;9.1753;0.4577;4.1571;0.9229;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.12;9.4521;0.4715;4.2826;0.9507;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.64;9.2148;0.4597;4.1751;0.9269;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.18;9.4818;0.473;4.296;0.9537;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.65;9.2198;0.4599;4.1773;0.9274;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.5;9.64;0.4809;4.3677;0.9696;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.88;9.3335;0.4656;4.2288;0.9388;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.56;9.1753;0.4577;4.1571;0.9229;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.84;9.3137;0.4646;4.2199;0.9368;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.73;9.7537;0.4865;4.4192;0.9811;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.09;9.4373;0.4707;4.2759;0.9492;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.74;9.2643;0.4621;4.1975;0.9318;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;18.43;9.111;0.4545;4.128;0.9164;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.34;9.5609;0.4769;4.3318;0.9617;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.5;9.64;0.4809;4.3677;0.9696;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;20.44;10.1047;0.504;4.5782;1.0164;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;20.63;10.1986;0.5087;4.6208;1.0258;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;20.56;10.164;0.507;4.6051;1.0223;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;20.32;10.0454;0.5011;4.5514;1.0104;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;20.76;10.2629;0.5119;4.6499;1.0323;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;20.35;10.0602;0.5018;4.5581;1.0119;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;19.81;9.7932;0.4885;4.4371;0.985;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;20.12;9.9465;0.4961;4.5066;1.0005;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;20.25;10.0108;0.4994;4.5357;1.0069;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;21.35;10.5546;0.5265;4.7821;1.0616;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;21.74;10.7474;0.5361;4.8694;1.081;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;21.57;10.6633;0.5319;4.8313;1.0726;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;22.28;11.0143;0.5494;4.9904;1.1079;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;22.01;10.8808;0.5428;4.9299;1.0944;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;22.39;11.0687;0.5521;5.015;1.1133;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;21.83;10.7919;0.5383;4.8896;1.0855;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;22.02;10.8858;0.543;4.9321;1.0949;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;21.85;10.8017;0.5388;4.894;1.0865;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;22.32;11.0341;0.5504;4.9993;1.1099;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;22.45;11.0984;0.5536;5.0284;1.1163;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;21.87;10.8116;0.5393;4.8985;1.0875;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;23.65;11.6916;0.5832;5.2972;1.176;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;24.04;11.8844;0.5928;5.3846;1.1954;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;24.36;12.0426;0.6007;5.4562;1.2113;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;24.42;12.0722;0.6022;5.4697;1.2143;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;24.64;12.181;0.6076;5.519;1.2252;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;24.11;11.919;0.5945;5.4003;1.1989;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;24.18;11.9536;0.5963;5.4159;1.2023;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;24.74;12.2304;0.6101;5.5414;1.2302;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;24.77;12.2453;0.6108;5.5481;1.2317;1690830215;VIVT3;17671
57.707;17671;2.0228;2.6789;40.5524;20.1107;25.03;12.3738;0.6172;5.6063;1.2446;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;24.15;10.0606;0.5893;5.0484;1.2031;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;23.92;9.9648;0.5837;5.0003;1.1916;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.84;9.5149;0.5573;4.7746;1.1378;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.77;9.4857;0.5556;4.7599;1.1343;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.63;9.4274;0.5522;4.7307;1.1274;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.5;9.3732;0.549;4.7035;1.1209;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;23.46;9.7732;0.5724;4.9042;1.1687;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.69;9.4524;0.5536;4.7432;1.1304;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;23.14;9.6398;0.5646;4.8373;1.1528;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.44;9.3482;0.5475;4.6909;1.1179;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.77;9.4857;0.5556;4.7599;1.1343;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;23.4;9.7482;0.571;4.8916;1.1657;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;23.69;9.869;0.578;4.9522;1.1802;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;23.2;9.6648;0.5661;4.8498;1.1558;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.89;9.5357;0.5585;4.785;1.1403;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;23.1;9.6232;0.5637;4.8289;1.1508;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.3;9.2899;0.5441;4.6617;1.1109;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.8;9.4982;0.5563;4.7662;1.1358;1690830215;VIVT3;17671
57.6146;17671;2.4005;3.0597;40.9827;20.0733;22.89;9.5357;0.5585;4.785;1.1403;1690830215;VIVT3;17671
57.6013;17671;2.3999;3.059;40.9732;20.0687;23.25;9.6879;0.5674;4.8614;1.1585;1691221103;VIVT3;17671
57.6013;17671;2.3999;3.059;40.9732;20.0687;23.92;9.9671;0.5838;5.0015;1.1919;1691221103;VIVT3;17671
57.6013;17671;2.3999;3.059;40.9732;20.0687;23.71;9.8796;0.5787;4.9576;1.1814;1691221103;VIVT3;17671
57.6013;17671;2.3999;3.059;40.9732;20.0687;23.36;9.7337;0.5701;4.8844;1.164;1691221103;VIVT3;17671
57.6013;17671;2.3999;3.059;40.9732;20.0687;23.37;9.7379;0.5704;4.8865;1.1645;1691221103;VIVT3;17671
