assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.51;-29.1878;1.1972;14.2388;2.8635;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.54;-29.5367;1.2115;14.409;2.8978;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.4;-27.9087;1.1447;13.6148;2.738;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.29;-26.6295;1.0923;12.9908;2.6125;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.36;-27.4435;1.1256;13.3879;2.6924;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.41;-28.0249;1.1495;13.6715;2.7494;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.64;-30.6995;1.2592;14.9762;3.0118;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.71;-31.5135;1.2926;15.3733;3.0917;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.53;-29.4204;1.2067;14.3522;2.8863;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.36;-27.4435;1.1256;13.3879;2.6924;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.36;-27.4435;1.1256;13.3879;2.6924;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.39;-27.7924;1.14;13.558;2.7266;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.38;-27.6761;1.1352;13.5013;2.7152;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.36;-27.4435;1.1256;13.3879;2.6924;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.37;-27.5598;1.1304;13.4446;2.7038;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.36;-27.4435;1.1256;13.3879;2.6924;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.32;-26.9784;1.1066;13.1609;2.6468;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.38;-27.6761;1.1352;13.5013;2.7152;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.43;-28.2575;1.159;13.785;2.7723;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.54;-29.5367;1.2115;14.409;2.8978;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.7;-31.3972;1.2878;15.3166;3.0803;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.6;-30.2344;1.2401;14.7493;2.9662;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.65;-30.8158;1.264;15.033;3.0232;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.64;-30.6995;1.2592;14.9762;3.0118;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.68;-31.1647;1.2783;15.2032;3.0575;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.68;-31.1647;1.2783;15.2032;3.0575;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.5;-29.0715;1.1924;14.1821;2.8521;663714411;STBP3;17892
2.7595;17892;-0.086;-0.0614;2.0966;0.8765;2.56;-29.7692;1.221;14.5224;2.9206;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.54;-35.436;1.2111;15.0013;2.8439;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.58;-35.9941;1.2302;15.2376;2.8887;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.64;-36.8312;1.2588;15.5919;2.9559;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.7;-37.6682;1.2874;15.9463;3.0231;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.7;-37.6682;1.2874;15.9463;3.0231;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.64;-36.8312;1.2588;15.5919;2.9559;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.65;-36.9707;1.2636;15.651;2.9671;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.69;-37.5287;1.2827;15.8872;3.0119;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.79;-38.9238;1.3303;16.4778;3.1238;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.64;-36.8312;1.2588;15.5919;2.9559;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.73;-38.0868;1.3017;16.1235;3.0567;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.77;-38.6448;1.3208;16.3597;3.1014;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.74;-38.2263;1.3065;16.1825;3.0678;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.69;-37.5287;1.2827;15.8872;3.0119;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.64;-36.8312;1.2588;15.5919;2.9559;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.68;-37.3892;1.2779;15.8282;3.0007;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.74;-38.2263;1.3065;16.1825;3.0678;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.78;-38.7843;1.3256;16.4188;3.1126;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.68;-37.3892;1.2779;15.8282;3.0007;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.71;-37.8078;1.2922;16.0054;3.0343;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.74;-38.2263;1.3065;16.1825;3.0678;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.73;-38.0868;1.3017;16.1235;3.0567;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.84;-39.6214;1.3542;16.7731;3.1798;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.85;-39.7609;1.3589;16.8322;3.191;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.85;-39.7609;1.3589;16.8322;3.191;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.85;-39.7609;1.3589;16.8322;3.191;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.81;-39.2029;1.3399;16.596;3.1462;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.66;-37.1102;1.2683;15.7101;2.9783;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.59;-36.1336;1.235;15.2966;2.8999;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.72;-37.9473;1.297;16.0644;3.0455;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.64;-36.8312;1.2588;15.5919;2.9559;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.64;-36.8312;1.2588;15.5919;2.9559;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.72;-37.9473;1.297;16.0644;3.0455;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.73;-38.0868;1.3017;16.1235;3.0567;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.72;-37.9473;1.297;16.0644;3.0455;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.58;-35.9941;1.2302;15.2376;2.8887;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.66;-37.1102;1.2683;15.7101;2.9783;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.64;-36.8312;1.2588;15.5919;2.9559;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.65;-36.9707;1.2636;15.651;2.9671;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.62;-36.5521;1.2493;15.4738;2.9335;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.46;-34.32;1.173;14.5288;2.7543;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.45;-34.1804;1.1682;14.4698;2.7431;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.4;-33.4829;1.1444;14.1745;2.6872;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.34;-32.6458;1.1158;13.8201;2.62;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.27;-31.6692;1.0824;13.4067;2.5416;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.32;-32.3668;1.1062;13.702;2.5976;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.23;-31.1112;1.0633;13.1705;2.4968;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.24;-31.2507;1.0681;13.2295;2.508;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.14;-29.8556;1.0204;12.6389;2.3961;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.28;-31.8087;1.0872;13.4658;2.5528;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.09;-29.158;0.9966;12.3436;2.3401;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.07;-28.879;0.987;12.2255;2.3177;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.06;-28.7395;0.9823;12.1664;2.3065;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.07;-28.879;0.987;12.2255;2.3177;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.08;-29.0185;0.9918;12.2846;2.3289;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.02;-28.1814;0.9632;11.9302;2.2617;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.03;-28.3209;0.968;11.9893;2.2729;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.09;-29.158;0.9966;12.3436;2.3401;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.16;-30.1346;1.0299;12.757;2.4184;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.14;-29.8556;1.0204;12.6389;2.3961;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.18;-30.4136;1.0395;12.8752;2.4408;663714411;STBP3;17892
2.737;17892;-0.0717;-0.0514;2.0972;0.8931;2.18;-30.4136;1.0395;12.8752;2.4408;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.14;-50.8776;1.0627;11.7002;2.3877;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.07;-49.2133;1.0279;11.3175;2.3096;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.01;-47.7869;0.9981;10.9895;2.2427;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.03;-48.2624;1.008;11.0988;2.265;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.07;-49.2133;1.0279;11.3175;2.3096;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.11;-50.1643;1.0478;11.5362;2.3543;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.17;-51.5908;1.0776;11.8642;2.4212;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.14;-50.8776;1.0627;11.7002;2.3877;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.14;-50.8776;1.0627;11.7002;2.3877;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.13;-50.6398;1.0577;11.6456;2.3766;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.08;-49.4511;1.0329;11.3722;2.3208;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.07;-49.2133;1.0279;11.3175;2.3096;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.09;-49.6888;1.0378;11.4269;2.3319;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.07;-49.2133;1.0279;11.3175;2.3096;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.08;-49.4511;1.0329;11.3722;2.3208;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.01;-47.7869;0.9981;10.9895;2.2427;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.03;-48.2624;1.008;11.0988;2.265;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.02;-48.0246;1.0031;11.0441;2.2538;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.0;-47.5491;0.9931;10.9348;2.2315;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.95;-46.3604;0.9683;10.6614;2.1757;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.94;-46.1226;0.9633;10.6067;2.1646;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.0;-47.5491;0.9931;10.9348;2.2315;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.95;-46.3604;0.9683;10.6614;2.1757;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.01;-47.7869;0.9981;10.9895;2.2427;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.9;-45.1717;0.9435;10.3881;2.12;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.87;-44.4584;0.9286;10.224;2.0865;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.87;-44.4584;0.9286;10.224;2.0865;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.85;-43.9829;0.9187;10.1147;2.0642;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.89;-44.9339;0.9385;10.3334;2.1088;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.83;-43.5074;0.9087;10.0053;2.0418;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.82;-43.2697;0.9038;9.9507;2.0307;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.78;-42.3187;0.8839;9.732;1.9861;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;1.87;-44.4584;0.9286;10.224;2.0865;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.09;-49.6888;1.0378;11.4269;2.3319;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.32;-55.157;1.152;12.6844;2.5886;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.38;-56.5835;1.1818;13.0124;2.6555;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.42;-57.5344;1.2017;13.2311;2.7001;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.38;-56.5835;1.1818;13.0124;2.6555;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.32;-55.157;1.152;12.6844;2.5886;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.32;-55.157;1.152;12.6844;2.5886;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.24;-53.255;1.1123;12.247;2.4993;663714411;STBP3;17892
3.8491;17892;-0.0421;0.0623;2.0138;0.8962;2.36;-56.108;1.1719;12.9031;2.6332;663714411;STBP3;17892
