assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
100.9603;18376;8.0567;12.1857;68.1264;14.9155;10.8;1.3405;0.1585;3.0513;0.7241;164718411;TRPL4;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;10.8;1.3405;0.1585;3.0513;0.7241;164718411;TRPL4;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;9.99;1.24;0.1466;2.8225;0.6698;164718411;TRPL3;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;9.99;1.24;0.1466;2.8225;0.6698;164718411;TRPL3;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;10.11;1.2549;0.1484;2.8564;0.6778;164718411;TRPL3;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;10.11;1.2549;0.1484;2.8564;0.6778;164718411;TRPL3;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;11.07;1.374;0.1625;3.1276;0.7422;164718411;TRPL4;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;11.07;1.374;0.1625;3.1276;0.7422;164718411;TRPL4;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;9.5;1.1791;0.1394;2.684;0.6369;164718411;TRPL3;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;9.5;1.1791;0.1394;2.684;0.6369;164718411;TRPL3;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;11.02;1.3678;0.1618;3.1135;0.7388;164718411;TRPL4;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;11.02;1.3678;0.1618;3.1135;0.7388;164718411;TRPL4;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;10.84;1.3455;0.1591;3.0626;0.7268;164718411;TRPL4;18376
100.9603;18376;8.0567;12.1857;68.1264;14.9155;9.5;1.1791;0.1394;2.684;0.6369;164718411;TRPL3;18376
