assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
1.5254;18414;0.0616;0.0606;1.118;0.0;7.0;113.7189;6.2615;-128.8476;23.0657;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.8;110.4698;6.0826;-125.1662;22.4067;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.5;105.5961;5.8142;-119.6442;21.4182;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.15;99.9102;5.5011;-113.2018;20.2649;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.03;97.9607;5.3938;-110.993;19.8695;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.45;104.7838;5.7695;-118.7239;21.2534;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.86;111.4445;6.1362;-126.2706;22.6044;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;7.09;115.181;6.342;-130.5042;23.3623;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;7.58;123.1413;6.7803;-139.5235;24.9769;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.91;112.2568;6.181;-127.191;22.7692;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.55;106.4084;5.8589;-120.5645;21.5829;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.38;103.6466;5.7069;-117.4354;21.0227;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.25;101.5347;5.5906;-115.0425;20.5944;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.62;107.5456;5.9215;-121.853;21.8136;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.5;105.5961;5.8142;-119.6442;21.4182;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.36;103.3217;5.689;-117.0672;20.9568;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.1;99.0979;5.4564;-112.2815;20.1001;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.18;100.3975;5.528;-113.754;20.3637;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.92;112.4192;6.1899;-127.3751;22.8021;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.61;107.3831;5.9126;-121.6689;21.7806;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.15;99.9102;5.5011;-113.2018;20.2649;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.25;101.5347;5.5906;-115.0425;20.5944;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.38;103.6466;5.7069;-117.4354;21.0227;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.29;102.1845;5.6264;-115.7788;20.7262;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;6.33;102.8344;5.6621;-116.515;20.858;78449778;PDTC3;18414
1.5254;18414;0.0616;0.0606;1.118;0.0;5.8;94.2242;5.1881;-106.7594;19.1116;78449778;PDTC3;18414
