assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.58;18.2159;6.1367;16.8;207.2725;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.92;18.6719;6.2903;17.2206;212.4619;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.77;18.4707;6.2225;17.035;210.1725;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;14.18;19.0207;6.4078;17.5423;216.4303;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;14.44;19.3694;6.5253;17.8639;220.3987;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;14.77;19.8121;6.6744;18.2722;225.4356;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;14.42;19.3426;6.5163;17.8392;220.0935;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;14.03;18.8195;6.34;17.3567;214.1409;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.89;18.6317;6.2768;17.1835;212.0041;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.38;17.9476;6.0463;16.5526;204.2199;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.23;17.7464;5.9785;16.367;201.9304;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.24;17.7598;5.983;16.3794;202.0831;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.3;17.8403;6.0101;16.4536;202.9988;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.84;17.2232;5.8023;15.8845;195.9778;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.08;17.5452;5.9107;16.1814;199.641;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.24;17.7598;5.983;16.3794;202.0831;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;13.24;17.7598;5.983;16.3794;202.0831;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.59;16.8879;5.6893;15.5753;192.1621;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.94;17.3574;5.8475;16.0082;197.5041;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.61;16.9147;5.6983;15.6;192.4673;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.7;17.0355;5.739;15.7113;193.841;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.78;17.1428;5.7752;15.8103;195.062;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.25;16.4318;5.5357;15.1546;186.9726;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.57;16.8611;5.6803;15.5505;191.8568;1765647306;CCRO3;18821
2.723;18821;0.7455;0.7465;2.2129;0.0655;12.08;16.2038;5.4588;14.9443;184.3779;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.25;17.1807;7.1143;13.6413;187.1862;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;11.7;16.4093;6.7949;13.0288;178.7819;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.17;17.0685;7.0679;13.5522;185.9638;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.76;17.896;7.4105;14.2092;194.9793;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;13.6;19.0741;7.8984;15.1446;207.8149;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;13.51;18.9478;7.8461;15.0444;206.4396;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;13.26;18.5972;7.7009;14.766;202.6195;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;13.16;18.457;7.6428;14.6547;201.0915;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.59;17.6575;7.3118;14.0199;192.3816;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.87;18.0502;7.4744;14.3317;196.6601;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.82;17.9801;7.4454;14.276;195.8961;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.55;17.6014;7.2886;13.9754;191.7704;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.12;16.9984;7.0388;13.4965;185.1997;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.65;17.7417;7.3467;14.0867;193.2984;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.64;17.7277;7.3408;14.0756;193.1456;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.16;17.0545;7.0621;13.5411;185.811;1765647306;CCRO3;18821
2.9681;18821;0.713;0.7089;1.7219;0.0654;12.14;17.0264;7.0505;13.5188;185.5054;1765647306;CCRO3;18821
