assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
2.4321;18970;0.2064;0.1628;1.0587;0.0;3.13;15.1613;2.9563;26.9027;2.2725;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;3.0;14.5316;2.8335;25.7853;2.1781;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;3.01;14.58;2.843;25.8713;2.1854;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;2.8;13.5628;2.6446;24.0663;2.0329;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;2.8;13.5628;2.6446;24.0663;2.0329;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;2.5;12.1097;2.3613;21.4878;1.8151;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;2.57;12.4487;2.4274;22.0894;1.8659;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;2.99;14.4832;2.8241;25.6994;2.1709;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;3.1;15.016;2.928;26.6448;2.2507;1906464373;TIET3;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;3.1;15.016;2.928;26.6448;2.1418;1906464373;TIET3;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;2.95;14.2894;2.7863;25.3556;2.2507;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;2.95;14.2894;2.7863;25.3556;2.1418;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;3.0;14.5316;2.8335;25.7853;2.1781;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;3.1;15.016;2.928;26.6448;2.2507;1906464373;TIET4;18970
2.4321;18970;0.2064;0.1628;1.0587;0.0;2.91;14.0957;2.7485;25.0118;2.2507;1906464373;TIET3;18970
