assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;7.52;-8.4424;3.387;-7.6727;229.4548;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;7.36;-8.2628;3.315;-7.5094;224.5728;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;7.07;-7.9372;3.1843;-7.2135;215.7242;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.94;-7.7913;3.1258;-7.0809;211.7575;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;7.28;-8.173;3.2789;-7.4278;222.1318;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;7.29;-8.1842;3.2834;-7.438;222.4369;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;7.02;-7.8811;3.1618;-7.1625;214.1985;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.95;-7.8025;3.1303;-7.0911;212.0626;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.95;-7.8025;3.1303;-7.0911;212.0626;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;8.0;-8.9813;3.6032;-8.1624;244.1009;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;7.05;-7.9148;3.1753;-7.1931;215.1139;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.99;-7.8474;3.1483;-7.1319;213.2831;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.9;-7.7464;3.1078;-7.0401;210.537;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.75;-7.578;3.0402;-6.887;205.9601;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.84;-7.679;3.0808;-6.9789;208.7063;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.85;-7.6902;3.0853;-6.9891;209.0114;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.85;-7.6902;3.0853;-6.9891;209.0114;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.81;-7.6453;3.0672;-6.9483;207.7909;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.67;-7.4882;3.0042;-6.8054;203.5191;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.6;-7.4096;2.9727;-6.734;201.3832;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.78;-7.6116;3.0537;-6.9176;206.8755;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.46;-7.2524;2.9096;-6.5911;197.1115;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.4;-7.185;2.8826;-6.5299;195.2807;47782748;BIOM3;19305
6.2874;19305;-0.8907;-0.766;2.2202;0.0328;6.34;-7.1177;2.8556;-6.4687;193.45;47782748;BIOM3;19305
