assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;6.4;-142.2505;-0.1876;19.4272;21.2314;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;6.14;-136.4716;-0.18;18.638;20.3689;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;6.7;-148.9185;-0.1964;20.3379;22.2266;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;6.45;-143.3619;-0.189;19.579;21.3973;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.08;-157.3646;-0.2075;21.4914;23.4873;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.45;-165.5885;-0.2183;22.6145;24.7147;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.6;-168.9225;-0.2227;23.0698;25.2123;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.3;-162.2545;-0.214;22.1592;24.2171;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.6;-168.9225;-0.2227;23.0698;25.2123;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;8.18;-181.814;-0.2397;24.8304;27.1364;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;8.26;-183.5921;-0.2421;25.0733;27.4018;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.8;-173.3678;-0.2286;23.6769;25.8758;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.88;-175.146;-0.231;23.9198;26.1412;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.8;-173.3678;-0.2286;23.6769;25.8758;2000398;FRTA3;19658
3.2039;19658;-0.045;-2.8214;-34.1197;0.3014;7.79;-173.1456;-0.2283;23.6466;25.8426;2000398;FRTA3;19658
