assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.33;-18.7342;0.2573;-3.7282;0.2819;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.19;-18.2421;0.2505;-3.6302;0.2745;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.15;-18.1015;0.2486;-3.6023;0.2724;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.15;-18.1015;0.2486;-3.6023;0.2724;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.15;-18.1015;0.2486;-3.6023;0.2724;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.23;-18.3827;0.2525;-3.6582;0.2767;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.25;-18.453;0.2534;-3.6722;0.2777;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.27;-18.5233;0.2544;-3.6862;0.2788;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.05;-17.7501;0.2438;-3.5323;0.2671;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.11;-17.9609;0.2467;-3.5743;0.2703;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.06;-17.7852;0.2443;-3.5393;0.2677;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;4.85;-17.0471;0.2341;-3.3924;0.2566;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;4.98;-17.504;0.2404;-3.4834;0.2634;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;4.99;-17.5392;0.2409;-3.4903;0.264;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.11;-17.9609;0.2467;-3.5743;0.2703;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.01;-17.6095;0.2419;-3.5043;0.265;407214356;CSAN3;19836
42.775;19836;-0.2845;1.2561;20.7147;0.0;5.05;-17.7501;0.2438;-3.5323;0.2671;407214356;CSAN3;19836
