assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
17.5576;20028;1.9812;2.2808;10.6228;11.4022;29.6;14.9405;2.7865;16.5855;2.596;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;29.73;15.0061;2.7987;16.6583;2.6074;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;29.89;15.0869;2.8138;16.748;2.6214;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;30.25;15.2686;2.8477;16.9497;2.653;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;30.42;15.3544;2.8637;17.045;2.6679;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;30.05;15.1677;2.8288;16.8376;2.6355;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;29.39;14.8345;2.7667;16.4678;2.5776;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;28.98;14.6276;2.7281;16.2381;2.5416;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;28.73;14.5014;2.7046;16.098;2.5197;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;29.56;14.9203;2.7827;16.5631;2.5925;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;29.34;14.8093;2.762;16.4398;2.5732;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;29.56;14.9203;2.7827;16.5631;2.5925;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;29.91;15.097;2.8157;16.7592;2.6232;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;30.62;15.4554;2.8825;17.157;2.6854;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;31.01;15.6522;2.9192;17.3755;2.7196;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;30.57;15.4301;2.8778;17.129;2.6811;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;31.15;15.7229;2.9324;17.454;2.7319;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;31.11;15.7027;2.9286;17.4316;2.7284;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;32.34;16.3235;3.0444;18.1208;2.8363;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;32.63;16.4699;3.0717;18.2833;2.8617;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;31.52;15.9096;2.9672;17.6613;2.7644;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;31.88;16.0913;3.0011;17.863;2.7959;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;31.6;15.95;2.9747;17.7061;2.7714;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;31.98;16.1418;3.0105;17.9191;2.8047;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;32.02;16.162;3.0143;17.9415;2.8082;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;32.59;16.4497;3.0679;18.2608;2.8582;55593894;VLID3;20028
17.5576;20028;1.9812;2.2808;10.6228;11.4022;32.64;16.475;3.0726;18.2889;2.8626;55593894;VLID3;20028
18.3744;20028;2.2009;2.3382;11.5261;11.7264;32.13;14.5985;2.7876;20.4627;2.74;55593894;VLID3;20028
18.3744;20028;2.2009;2.3382;11.5261;11.7264;30.94;14.0578;2.6843;19.7048;2.6385;55593894;VLID3;20028
18.3744;20028;2.2009;2.3382;11.5261;11.7264;31.42;14.2759;2.726;20.0105;2.6794;55593894;VLID3;20028
18.3744;20028;2.2009;2.3382;11.5261;11.7264;31.37;14.2532;2.7217;19.9787;2.6752;55593894;VLID3;20028
