assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
13.4446;20036;0.1816;-0.2789;11.8071;2.1416;7.09;39.049;0.6005;-73.4175;3.3106;58226571;AGRO3;20036
13.4446;20036;0.1816;-0.2789;11.8071;2.1416;7.01;38.6084;0.5937;-72.5891;3.2732;58226571;AGRO3;20036
13.4446;20036;0.1816;-0.2789;11.8071;2.1416;7.0;38.5533;0.5929;-72.4855;3.2686;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.15;-12.115;0.6237;-74.0388;4.5423;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.14;-12.0981;0.6229;-73.9352;4.5359;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.1;-12.0303;0.6194;-73.521;4.5105;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.1;-12.0303;0.6194;-73.521;4.5105;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.07;-11.9795;0.6168;-73.2104;4.4915;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.1;-12.0303;0.6194;-73.521;4.5105;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.15;-12.115;0.6237;-74.0388;4.5423;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.08;-11.9964;0.6176;-73.3139;4.4978;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.07;-11.9795;0.6168;-73.2104;4.4915;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.04;-11.9286;0.6141;-72.8997;4.4724;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.02;-11.8947;0.6124;-72.6926;4.4597;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.09;-12.0133;0.6185;-73.4175;4.5042;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.06;-11.9625;0.6159;-73.1068;4.4851;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.12;-12.0642;0.6211;-73.7281;4.5232;58226571;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.14;-12.0981;0.6229;-73.9353;4.5359;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.12;-12.0642;0.6211;-73.7282;4.5232;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.05;-11.9456;0.615;-73.0033;4.4788;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.05;-11.9456;0.615;-73.0033;4.4788;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;7.09;-12.0133;0.6185;-73.4175;4.5042;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.8;-11.522;0.5932;-70.4145;4.32;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.55;-11.0984;0.5714;-67.8258;4.1611;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.41;-10.8611;0.5592;-66.376;4.0722;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.36;-10.7764;0.5548;-65.8583;4.0404;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.55;-11.0984;0.5714;-67.8258;4.1611;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.64;-11.2509;0.5792;-68.7577;4.2183;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.77;-11.4711;0.5906;-70.1039;4.3009;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.64;-11.2509;0.5792;-68.7577;4.2183;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.54;-11.0814;0.5705;-67.7222;4.1548;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.34;-10.7425;0.5531;-65.6512;4.0277;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.25;-10.59;0.5452;-64.7192;3.9705;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.54;-11.0814;0.5705;-67.7222;4.1548;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.58;-11.1492;0.574;-68.1364;4.1802;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.65;-11.2678;0.5801;-68.8613;4.2247;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.62;-11.217;0.5775;-68.5506;4.2056;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.58;-11.1492;0.574;-68.1364;4.1802;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.6;-11.1831;0.5758;-68.3435;4.1929;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.58;-11.1492;0.574;-68.1364;4.1802;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.54;-11.0814;0.5705;-67.7222;4.1548;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.54;-11.0814;0.5705;-67.7222;4.1548;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.54;-11.0814;0.5705;-67.7222;4.1548;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.57;-11.1323;0.5731;-68.0329;4.1738;58226600;AGRO3;20036
13.5946;20036;-0.5902;-0.68;11.4633;1.5741;6.56;-11.1153;0.5723;-67.9293;4.1675;58226600;AGRO3;20036
