assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
39.6968;20346;-0.256;1.0515;17.5683;72.9151;11.63;-45.4357;0.662;4.0211;0.1595;41509437;PFRM3;20346
39.6968;20346;-0.256;1.0515;17.5683;72.9151;11.69;-45.6701;0.6654;4.0419;0.1603;41509437;PFRM3;20346
39.6968;20346;-0.256;1.0515;17.5683;72.9151;11.62;-45.3967;0.6614;4.0177;0.1594;41509437;PFRM3;20346
39.6968;20346;-0.256;1.0515;17.5683;72.9151;11.53;-45.0451;0.6563;3.9866;0.1581;41509437;PFRM3;20346
39.6968;20346;-0.256;1.0515;17.5683;72.9151;11.51;-44.9669;0.6552;3.9797;0.1579;41509437;PFRM3;20346
39.6968;20346;-0.256;1.0515;17.5683;72.9151;10.82;-42.2713;0.6159;3.7411;0.1484;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.67;-12.1132;0.6248;6.7926;0.1439;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.44;-11.8521;0.6114;6.6462;0.1408;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.38;-11.7839;0.6078;6.608;0.14;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.52;-11.9429;0.616;6.6971;0.1419;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.82;-12.2835;0.6336;6.8881;0.1459;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.63;-12.0678;0.6225;6.7672;0.1433;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.61;-12.045;0.6213;6.7544;0.1431;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.81;-12.2721;0.633;6.8817;0.1458;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.62;-12.0564;0.6219;6.7608;0.1432;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.63;-12.0678;0.6225;6.7672;0.1433;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.63;-12.0678;0.6225;6.7672;0.1433;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.57;-11.9996;0.619;6.729;0.1425;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.42;-11.8293;0.6102;6.6335;0.1405;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.25;-11.6364;0.6002;6.5252;0.1382;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.29;-11.6818;0.6026;6.5507;0.1388;41509437;PFRM3;20346
38.1943;20346;-0.8809;0.2851;17.0767;74.1555;10.25;-11.6364;0.6002;6.5252;0.1382;41509437;PFRM3;20346
