assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.24;4.7669;0.5922;-5.8345;17.1407;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.35;4.8669;0.6047;-5.957;17.5005;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.37;4.8851;0.6069;-5.9792;17.5659;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.51;5.0125;0.6228;-6.1351;18.0239;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.63;5.1216;0.6363;-6.2687;18.4164;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.65;5.1398;0.6386;-6.291;18.4818;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.68;5.1671;0.642;-6.3244;18.58;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.64;5.1307;0.6375;-6.2799;18.4491;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.53;5.0307;0.625;-6.1574;18.0893;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.39;4.9033;0.6092;-6.0015;17.6313;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.24;4.7669;0.5922;-5.8345;17.1407;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.13;4.6668;0.5798;-5.712;16.7808;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.2;4.7305;0.5877;-5.79;17.0098;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;4.98;4.5303;0.5629;-5.545;16.2902;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.02;4.5667;0.5674;-5.5895;16.421;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.09;4.6304;0.5753;-5.6675;16.65;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.05;4.594;0.5708;-5.6229;16.5192;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;5.0;4.5485;0.5651;-5.5673;16.3556;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;4.99;4.5394;0.564;-5.5561;16.3229;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;4.8;4.3666;0.5425;-5.3446;15.7014;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;4.8;4.3666;0.5425;-5.3446;15.7014;233286453;EVEN3;20524
13.154;20524;1.0993;1.4343;8.8477;0.3057;4.8;4.3666;0.5425;-5.3446;15.7014;233286453;EVEN3;20524
