assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
7.4864;20630;-0.572;-0.5691;7.0073;0.0;50.8;-88.8062;7.2496;-231.9641;51.896;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;50.8;-88.8062;7.2496;-231.9641;51.896;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;52.08;-91.0438;7.4323;-237.8089;53.2036;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;52.26;-91.3585;7.458;-238.6308;53.3875;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;51.35;-89.7676;7.3281;-234.4756;52.4578;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;51.71;-90.397;7.3795;-236.1194;52.8256;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;50.07;-87.53;7.1454;-228.6308;51.1502;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;50.98;-89.1208;7.2753;-232.7861;52.0799;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;51.89;-90.7116;7.4052;-236.9413;53.0095;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;50.98;-89.1208;7.2753;-232.7861;52.0799;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;52.26;-91.3585;7.458;-238.6308;53.3875;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;51.35;-89.7676;7.3281;-234.4756;52.4578;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;50.98;-89.1208;7.2753;-232.7861;52.0799;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;51.53;-90.0823;7.3538;-235.2975;52.6417;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;50.98;-89.1208;7.2753;-232.7861;52.0799;48443061;CRDE3;20630
7.4864;20630;-0.572;-0.5691;7.0073;0.0;50.62;-88.4915;7.2239;-231.1422;51.7121;48443061;CRDE3;20630
