assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
428.6282;20648;-102.2084;-47.2459;-243.0286;344.4148;48.0;-0.4696;-0.1975;-3.2464;0.1394;9679688;CEED3;20648
428.6282;20648;-102.2084;-47.2459;-243.0286;344.4148;53.0;-0.5185;-0.2181;-3.5846;0.1539;9679688;CEED3;20648
430.7881;20648;-125.6525;-66.2248;-267.5653;345.0293;50.0;-0.3979;-0.1869;27.9679;0.1449;9679688;CEED4;20648
430.7881;20648;-125.6525;-66.2248;-267.5653;345.0293;59.0;-0.4695;-0.2205;33.0021;0.171;9679688;CEED3;20648
430.7881;20648;-125.6525;-66.2248;-267.5653;345.0293;76.0;-0.6048;-0.284;42.5112;0.2203;9679688;CEED3;20648
430.7881;20648;-125.6525;-66.2248;-267.5653;345.0293;100.0;-0.7958;-0.3737;55.9358;0.2898;9679688;CEED3;20648
430.7881;20648;-125.6525;-66.2248;-267.5653;345.0293;100.0;-0.7958;-0.3737;55.9358;0.2898;9679688;CEED3;20648
430.7881;20648;-125.6525;-66.2248;-267.5653;345.0293;90.0;-0.7163;-0.3364;50.3422;0.2608;9679688;CEED4;20648
430.7881;20648;-125.6525;-66.2248;-267.5653;345.0293;100.0;-0.7958;-0.3737;55.9358;0.2898;9679688;CEED4;20648
387.3816;20648;-117.4425;-65.6298;-346.3038;339.9313;100.0;-0.8515;-0.2888;-8.4225;0.2942;9679688;CEED4;20648
387.3816;20648;-117.4425;-65.6298;-346.3038;339.9313;112.0;-0.9537;-0.3234;-9.4332;0.3295;9679688;CEED3;20648
387.3816;20648;-117.4425;-65.6298;-346.3038;339.9313;100.0;-0.8515;-0.2888;-8.4225;0.2942;9679688;CEED3;20648
433.9385;20648;-111.8334;-57.6001;-381.2398;350.0269;110.0;-0.9836;-0.2885;-753.5497;0.3143;9679688;CEED4;20648
433.9385;20648;-111.8334;-57.6001;-381.2398;350.0269;90.9;-0.8128;-0.2384;-622.706;0.2597;9679688;CEED3;20648
433.9385;20648;-111.8334;-57.6001;-381.2398;350.0269;100.0;-0.8942;-0.2623;-685.0452;0.2857;9679688;CEED3;20648
426.7366;20648;-138.6728;-46.1109;-423.0625;354.399;80.0;-0.5769;-0.1891;-4.346;0.2257;9679688;CEED3;20648
426.7366;20648;-138.6728;-46.1109;-423.0625;354.399;72.03;-0.5194;-0.1703;-3.913;0.2032;9679688;CEED3;20648
426.7366;20648;-138.6728;-46.1109;-423.0625;354.399;77.0;-0.5553;-0.182;-4.183;0.2173;9679688;CEED3;20648
426.7366;20648;-138.6728;-46.1109;-423.0625;354.399;74.0;-0.5336;-0.1749;-4.02;0.2088;9679688;CEED3;20648
426.7366;20648;-138.6728;-46.1109;-423.0625;354.399;74.0;-0.5336;-0.1749;-4.02;0.2088;9679688;CEED3;20648
426.7366;20648;-138.6728;-46.1109;-423.0625;354.399;74.0;-0.5336;-0.1749;-4.02;0.2088;9679688;CEED3;20648
426.7366;20648;-138.6728;-46.1109;-423.0625;354.399;88.0;-0.6346;-0.208;-4.7806;0.2483;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;74.0;-0.4384;-0.1467;-11.9614;0.2143;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;80.0;-0.4739;-0.1586;-12.9313;0.2317;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;100.0;-0.5924;-0.1982;-16.1641;0.2896;9679688;CEED4;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;83.08;-0.4921;-0.1647;-13.4291;0.2406;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;67.5;-0.3998;-0.1338;-10.9107;0.1955;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;70.0;-0.4147;-0.1387;-11.3148;0.2027;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;71.0;-0.4206;-0.1407;-11.4765;0.2056;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;71.0;-0.4206;-0.1407;-11.4765;0.2056;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;54.0;-0.3199;-0.107;-8.7286;0.1564;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;57.4;-0.34;-0.1138;-9.2782;0.1662;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;57.99;-0.3435;-0.1149;-9.3735;0.1679;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;57.9;-0.343;-0.1148;-9.359;0.1677;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;54.01;-0.3199;-0.1071;-8.7302;0.1564;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;54.01;-0.3199;-0.1071;-8.7302;0.1564;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;100.0;-0.5924;-0.1982;-16.1641;0.2896;9679688;CEED4;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;56.1;-0.3323;-0.1112;-9.068;0.1625;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;56.1;-0.3323;-0.1112;-9.068;0.1625;9679688;CEED3;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;100.0;-0.5924;-0.1982;-16.1641;0.2896;9679688;CEED4;20648
405.4853;20648;-168.8137;-63.143;-504.5167;345.3074;52.5;-0.311;-0.1041;-8.4861;0.152;9679688;CEED3;20648
