assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
3.0977;20702;-0.7135;-0.4062;0.0918;-0.0013;0.6;-0.8409;6.5376;2.8107;-447.2287;339148436;VIVR3;20702
3.0977;20702;-0.7135;-0.4062;0.0918;-0.0013;0.5;-0.7007;5.448;2.3423;-372.6906;339148436;VIVR3;20702
3.0977;20702;-0.7135;-0.4062;0.0918;-0.0013;0.5;-0.7007;5.448;2.3423;-372.6906;339148436;VIVR3;20702
3.0977;20702;-0.7135;-0.4062;0.0918;-0.0013;0.5;-0.7007;5.448;2.3423;-372.6906;339148436;VIVR3;20702
3.0977;20702;-0.7135;-0.4062;0.0918;-0.0013;0.6;-0.8409;6.5376;2.8107;-447.2287;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.6;-0.9945;-5.5836;-6.3582;-353.2796;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.6;-0.9945;-5.5836;-6.3582;-353.2796;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.6;-0.9945;-5.5836;-6.3582;-353.2796;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.5;-0.8288;-4.653;-5.2985;-294.3997;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.4;-0.663;-3.7224;-4.2388;-235.5197;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.2;-0.3315;-1.8612;-2.1194;-117.7599;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.2;-0.3315;-1.8612;-2.1194;-117.7599;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
3.0634;20702;-0.6033;-0.353;-0.1075;-0.0017;0.3;-0.4973;-2.7918;-3.1791;-176.6398;339148436;VIVR3;20702
