assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.8;11.756;0.7145;-41.1154;12.2948;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.88;11.8628;0.721;-41.4892;12.4066;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.93;11.9296;0.7251;-41.7228;12.4765;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.14;12.2102;0.7421;-42.704;12.7699;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.17;12.2502;0.7446;-42.8441;12.8118;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.27;12.3838;0.7527;-43.3114;12.9515;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.21;12.3037;0.7478;-43.031;12.8677;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.13;12.1968;0.7413;-42.6572;12.7559;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.27;12.3838;0.7527;-43.3114;12.9515;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.2;12.2903;0.747;-42.9843;12.8537;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.24;12.3437;0.7502;-43.1712;12.9096;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.37;12.5174;0.7608;-43.7786;13.0912;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.34;12.4773;0.7584;-43.6384;13.0493;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.2;12.2903;0.747;-42.9843;12.8537;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.17;12.2502;0.7446;-42.8441;12.8118;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.0;12.0231;0.7307;-42.0499;12.5743;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;9.0;12.0231;0.7307;-42.0499;12.5743;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.93;11.9296;0.7251;-41.7228;12.4765;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.97;11.9831;0.7283;-41.9097;12.5323;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.62;11.5155;0.6999;-40.2744;12.0433;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.58;11.4621;0.6966;-40.0875;11.9875;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.45;11.2884;0.6861;-39.4801;11.8058;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.67;11.5823;0.704;-40.508;12.1132;84884642;MDNE3;21067
22.7434;21067;0.7486;0.667;12.3161;0.7157;8.6;11.4888;0.6983;-40.181;12.0154;84884642;MDNE3;21067
