assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.74;14.6929;2.867;24982.0861;16.8946;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;36.41;14.9683;2.9207;25450.4129;17.2113;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.64;14.6518;2.859;24912.1866;16.8473;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;34.97;14.3763;2.8052;24443.8599;16.5306;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.95;14.7792;2.8838;25128.8751;16.9939;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;37.07;15.2397;2.9737;25911.7497;17.5233;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;37.29;15.3301;2.9913;26065.5286;17.6273;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.73;14.6888;2.8662;24975.0962;16.8899;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.26;14.4956;2.8285;24646.5685;16.6677;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;34.48;14.1749;2.7659;24101.3523;16.299;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.57;14.623;2.8534;24863.257;16.8142;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.39;14.549;2.8389;24737.4378;16.7291;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.68;14.6682;2.8622;24940.1464;16.8662;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;34.89;14.3435;2.7988;24387.9403;16.4928;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.38;14.5449;2.8381;24730.4479;16.7244;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.93;14.771;2.8822;25114.8952;16.9844;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;36.85;15.1492;2.956;25757.9707;17.4193;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;38.12;15.6713;3.0579;26645.6946;18.0196;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;38.69;15.9057;3.1036;27044.1218;18.2891;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;36.6;15.0464;2.936;25583.222;17.3011;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;34.47;14.1708;2.7651;24094.3623;16.2943;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;34.28;14.0927;2.7499;23961.5532;16.2044;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;36.23;14.8943;2.9063;25324.5938;17.1262;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;35.65;14.6559;2.8598;24919.1766;16.852;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;37.44;15.3918;3.0034;26170.3779;17.6982;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;33.97;13.9652;2.725;23744.8648;16.0579;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;33.42;13.7391;2.6809;23360.4174;15.7979;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;29.23;12.0166;2.3448;20431.6278;13.8173;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;31.11;12.7895;2.4956;21745.7387;14.706;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;29.79;12.2468;2.3897;20823.0651;14.082;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;25.0;10.2776;2.0055;17474.8784;11.8177;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;25.9;10.6476;2.0776;18103.974;12.2431;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;20.27;8.3331;1.626;14168.6314;9.5818;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;20.98;8.625;1.683;14664.9179;9.9174;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;17.46;7.1779;1.4006;12204.4551;8.2535;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;18.77;7.7164;1.5057;13120.1387;8.8727;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;20.33;8.3578;1.6308;14210.5711;9.6102;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;19.3;7.9343;1.5482;13490.6061;9.1233;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;20.67;8.4975;1.6581;14448.2295;9.7709;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;22.24;9.143;1.7841;15545.6518;10.513;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;23.58;9.6939;1.8915;16482.3053;11.1465;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;22.55;9.2704;1.8089;15762.3403;10.6596;108344246;TEND3;21148
22.0072;21148;2.4325;2.4357;12.466;2.1155;22.24;9.143;1.7841;15545.6518;10.513;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;20.15;9.4351;1.5933;-18.42;12.7526;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;18.88;8.8404;1.4929;-17.259;11.9488;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;19.55;9.1541;1.5459;-17.8715;12.3728;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;18.94;8.8685;1.4976;-17.3139;11.9868;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;20.18;9.4491;1.5957;-18.4474;12.7715;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.23;9.9408;1.6787;-19.4073;13.4361;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;22.1;10.3482;1.7475;-20.2026;13.9867;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;22.38;10.4793;1.7696;-20.4585;14.1639;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.72;10.1702;1.7174;-19.8552;13.7462;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;22.55;10.5589;1.7831;-20.6139;14.2715;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.67;10.1468;1.7135;-19.8095;13.7145;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.79;10.203;1.723;-19.9192;13.7905;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.11;9.8846;1.6692;-19.2976;13.3601;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.21;9.9314;1.6771;-19.389;13.4234;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;23.14;10.8351;1.8297;-21.1533;14.6449;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;22.8;10.6759;1.8028;-20.8425;14.4297;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;20.18;9.4491;1.5957;-18.4474;12.7715;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.1;9.8799;1.6684;-19.2884;13.3538;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;22.38;10.4793;1.7696;-20.4585;14.1639;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;23.7;11.0973;1.874;-21.6652;14.9993;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;22.72;10.6385;1.7965;-20.7693;14.3791;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.85;10.2311;1.7277;-19.974;13.8285;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.73;10.1749;1.7182;-19.8643;13.7525;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;21.06;9.8612;1.6652;-19.2519;13.3285;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;19.84;9.2899;1.5688;-18.1366;12.5564;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;20.04;9.3836;1.5846;-18.3194;12.6829;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;19.67;9.2103;1.5553;-17.9812;12.4488;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;18.85;8.8264;1.4905;-17.2316;11.9298;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;18.47;8.6484;1.4605;-16.8842;11.6893;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;18.87;8.8357;1.4921;-17.2499;11.9425;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;18.96;8.8779;1.4992;-17.3322;11.9994;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;20.63;9.6598;1.6312;-18.8588;13.0563;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;20.59;9.6411;1.6281;-18.8222;13.031;108344246;TEND3;21148
22.7159;21148;2.1356;2.1735;12.6468;1.5801;20.81;9.7441;1.6455;-19.0233;13.1703;108344246;TEND3;21148
