assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
39.0536;21199;-0.6768;"";4.031;7.4628;3.12;-4.6099;0.774;-4.1413;0.4181;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.11;-4.5952;0.7715;-4.128;0.4167;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.06;-4.5213;0.7591;-4.0616;0.41;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.1;-4.5804;0.769;-4.1147;0.4154;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.05;-4.5065;0.7566;-4.0483;0.4087;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.08;-4.5508;0.7641;-4.0882;0.4127;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.14;-4.6395;0.779;-4.1678;0.4208;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.09;-4.5656;0.7666;-4.1014;0.4141;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.11;-4.5952;0.7715;-4.128;0.4167;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.11;-4.5952;0.7715;-4.128;0.4167;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.09;-4.5656;0.7666;-4.1014;0.4141;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.09;-4.5656;0.7666;-4.1014;0.4141;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.1;-4.5804;0.769;-4.1147;0.4154;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.14;-4.6395;0.779;-4.1678;0.4208;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.05;-4.5065;0.7566;-4.0483;0.4087;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.09;-4.5656;0.7666;-4.1014;0.4141;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.18;-4.6986;0.7889;-4.2209;0.4261;535076083;BPAN4;21199
39.0536;21199;-0.6768;"";4.031;7.4628;3.18;-4.6986;0.7889;-4.2209;0.4261;535076083;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;3.15;-8.0811;1.3568;-7.2595;0.7329;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;3.19;-8.1837;1.374;-7.3517;0.7422;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;3.19;-8.1837;1.374;-7.3517;0.7422;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;3.2;-8.2094;1.3783;-7.3747;0.7445;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;3.14;-8.0554;1.3525;-7.2364;0.7305;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;3.2;-8.2094;1.3783;-7.3747;0.7445;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;3.14;-8.0554;1.3525;-7.2364;0.7305;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;3.0;-7.6963;1.2922;-6.9138;0.698;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.96;-7.5937;1.275;-6.8216;0.6887;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.95;-7.568;1.2707;-6.7986;0.6863;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.92;-7.491;1.2577;-6.7294;0.6794;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.9;-7.4397;1.2491;-6.6833;0.6747;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.89;-7.4141;1.2448;-6.6603;0.6724;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.87;-7.3628;1.2362;-6.6142;0.6677;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.83;-7.2602;1.219;-6.522;0.6584;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.96;-7.5937;1.275;-6.8216;0.6887;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.81;-7.2088;1.2104;-6.4759;0.6538;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.84;-7.2858;1.2233;-6.5451;0.6607;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.83;-7.2602;1.219;-6.522;0.6584;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.87;-7.3628;1.2362;-6.6142;0.6677;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.87;-7.3628;1.2362;-6.6142;0.6677;929040178;BPAN4;21199
22.4927;21199;-0.3898;"";2.3216;4.2982;2.88;-7.3884;1.2405;-6.6373;0.6701;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.83;-6.4916;0.7714;-5.531;0.6219;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.83;-6.4916;0.7714;-5.531;0.6219;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.84;-6.5145;0.7742;-5.5506;0.6241;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.74;-6.2851;0.7469;-5.3551;0.6021;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.78;-6.3769;0.7578;-5.4333;0.6109;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.81;-6.4457;0.766;-5.4919;0.6175;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.77;-6.3539;0.7551;-5.4137;0.6087;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.83;-6.4916;0.7714;-5.531;0.6219;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.82;-6.4686;0.7687;-5.5115;0.6197;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.78;-6.3769;0.7578;-5.4333;0.6109;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.78;-6.3769;0.7578;-5.4333;0.6109;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.73;-6.2622;0.7442;-5.3356;0.5999;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.51;-5.7575;0.6842;-4.9056;0.5516;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.46;-5.6428;0.6706;-4.8079;0.5406;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.41;-5.5282;0.657;-4.7102;0.5296;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.33;-5.3447;0.6351;-4.5538;0.512;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.42;-5.5511;0.6597;-4.7297;0.5318;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.33;-5.3447;0.6351;-4.5538;0.512;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.43;-5.574;0.6624;-4.7492;0.534;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.39;-5.4823;0.6515;-4.6711;0.5252;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.38;-5.4593;0.6488;-4.6515;0.523;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.47;-5.6658;0.6733;-4.8274;0.5428;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.55;-5.8493;0.6951;-4.9838;0.5603;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.58;-5.9181;0.7033;-5.0424;0.5669;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.21;-5.0694;0.6024;-4.3193;0.4856;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.23;-5.1153;0.6079;-4.3584;0.49;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.27;-5.207;0.6188;-4.4365;0.4988;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.26;-5.1841;0.6161;-4.417;0.4966;929040178;BPAN4;21199
25.3851;21199;-0.4359;"";3.6684;4.5508;2.26;-5.1841;0.6161;-4.417;0.4966;929040178;BPAN4;21199
