assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
6.1659;21237;-1.1359;-0.9291;3.903;0.0;118.75;-104.5405;30.425;-532.4363;89.8395;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;115.25;-101.4593;29.5283;-516.7434;87.1916;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;117.5;-103.4401;30.1047;-526.8317;88.8938;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;108.5;-95.517;27.7988;-486.4786;82.0849;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;112.5;-99.0384;28.8237;-504.4133;85.1111;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;109.0;-95.9572;27.927;-488.7205;82.4632;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;103.0;-90.6751;26.3897;-461.8184;77.9239;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;112.5;-99.0384;28.8237;-504.4133;85.1111;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;106.0;-93.3161;27.1583;-475.2694;80.1936;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;102.5;-90.235;26.2616;-459.5766;77.5457;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;90.25;-79.4508;23.123;-404.6516;68.278;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;84.25;-74.1687;21.5857;-377.7495;63.7388;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;86.75;-76.3696;22.2263;-388.9587;65.6301;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;88.75;-78.1303;22.7387;-397.9261;67.1432;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;93.25;-82.0918;23.8916;-418.1026;70.5476;702524468;ENEV3;21237
6.1659;21237;-1.1359;-0.9291;3.903;0.0;87.5;-77.0298;22.4184;-392.3215;66.1975;702524468;ENEV3;21237
