assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.77;5.0466;0.6671;-28.5448;313.4839;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.96;5.1883;0.6859;-29.3459;322.2818;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;7.11;5.3001;0.7006;-29.9784;329.2275;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;7.14;5.3224;0.7036;-30.1049;330.6167;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;7.23;5.3895;0.7125;-30.4843;334.7841;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;7.21;5.3746;0.7105;-30.4;333.858;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;7.15;5.3299;0.7046;-30.147;331.0797;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.93;5.1659;0.6829;-29.2194;320.8926;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.81;5.0764;0.6711;-28.7135;315.3361;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.65;4.9572;0.6553;-28.0389;307.9273;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.71;5.0019;0.6612;-28.2918;310.7056;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.57;4.8975;0.6474;-27.7015;304.2229;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.63;4.9423;0.6533;-27.9545;307.0012;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.56;4.8901;0.6464;-27.6594;303.7598;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.44;4.8006;0.6346;-27.1534;298.2033;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.65;4.9572;0.6553;-28.0389;307.9273;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.59;4.9124;0.6494;-27.7859;305.149;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.36;4.741;0.6267;-26.8161;294.4989;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.38;4.7559;0.6287;-26.9004;295.425;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.47;4.823;0.6376;-27.2799;299.5924;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.32;4.7112;0.6228;-26.6475;292.6467;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;6.35;4.7335;0.6257;-26.7739;294.0358;153176458;DIRR3;21350
13.4649;21350;1.3415;1.4321;10.1479;0.0216;5.98;4.4577;0.5893;-25.2139;276.903;153176458;DIRR3;21350
14.1531;21350;1.2771;1.364;10.4893;0.0236;6.12;4.7922;0.5834;-17.0032;259.1761;153176458;DIRR3;21350
14.1531;21350;1.2771;1.364;10.4893;0.0236;5.84;4.5729;0.5568;-16.2253;247.3184;153176458;DIRR3;21350
14.1531;21350;1.2771;1.364;10.4893;0.0236;6.04;4.7295;0.5758;-16.781;255.7882;153176458;DIRR3;21350
14.1531;21350;1.2771;1.364;10.4893;0.0236;6.06;4.7452;0.5777;-16.8365;256.6351;153176458;DIRR3;21350
