assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.46;28.1195;1.3412;13.512;2.1704;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.61;28.3923;1.3542;13.6431;2.1914;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.58;28.3377;1.3516;13.6169;2.1872;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.85;28.8288;1.3751;13.8529;2.2251;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.7;28.556;1.362;13.7218;2.2041;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.64;28.4469;1.3568;13.6693;2.1956;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.61;28.3923;1.3542;13.6431;2.1914;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.49;28.174;1.3438;13.5382;2.1746;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.35;27.9194;1.3317;13.4159;2.1549;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.18;27.6102;1.3169;13.2673;2.1311;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.24;27.7193;1.3221;13.3197;2.1395;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.05;27.3737;1.3057;13.1537;2.1128;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;15.15;27.5556;1.3143;13.2411;2.1268;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.83;26.9736;1.2866;12.9614;2.0819;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.74;26.8099;1.2788;12.8828;2.0693;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.89;27.0827;1.2918;13.0139;2.0903;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.74;26.8099;1.2788;12.8828;2.0693;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.26;25.9369;1.2371;12.4632;2.0019;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.34;26.0824;1.2441;12.5332;2.0131;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.14;25.7186;1.2267;12.3584;1.9851;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.04;25.5367;1.218;12.271;1.971;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.3;26.0096;1.2406;12.4982;2.0075;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.26;25.9369;1.2371;12.4632;2.0019;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.6;26.5553;1.2666;12.7604;2.0496;632100787;HYPE3;21431
19.7167;21431;0.5498;1.5457;11.5268;7.1232;14.25;25.9187;1.2363;12.4545;2.0005;632100787;HYPE3;21431
