assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
6.6123;21490;0.8587;0.8921;5.761;0.204;8.72;10.1551;1.5136;-142.9894;42.7498;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.64;7.7328;1.1526;-108.8818;32.5526;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.64;7.7328;1.1526;-108.8818;32.5526;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.85;10.3065;1.5362;-145.1211;43.3871;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.85;10.3065;1.5362;-145.1211;43.3871;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.58;7.6629;1.1422;-107.8979;32.2584;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.58;7.6629;1.1422;-107.8979;32.2584;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.46;7.5231;1.1213;-105.9302;31.6701;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.46;7.5231;1.1213;-105.9302;31.6701;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.94;10.4113;1.5518;-146.5969;43.8283;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.94;10.4113;1.5518;-146.5969;43.8283;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.47;7.5348;1.1231;-106.0942;31.7191;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.47;7.5348;1.1231;-106.0942;31.7191;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.94;10.4113;1.5518;-146.5969;43.8283;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.94;10.4113;1.5518;-146.5969;43.8283;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.49;7.5581;1.1265;-106.4221;31.8172;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.49;7.5581;1.1265;-106.4221;31.8172;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.98;10.4579;1.5588;-147.2528;44.0244;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.98;10.4579;1.5588;-147.2528;44.0244;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.38;7.43;1.1074;-104.6184;31.2779;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.38;7.43;1.1074;-104.6184;31.2779;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.99;10.4695;1.5605;-147.4168;44.0734;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.99;10.4695;1.5605;-147.4168;44.0734;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.32;7.3601;1.097;-103.6345;30.9838;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.32;7.3601;1.097;-103.6345;30.9838;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.99;10.4695;1.5605;-147.4168;44.0734;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.99;10.4695;1.5605;-147.4168;44.0734;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.33;7.3717;1.0988;-103.7985;31.0328;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.33;7.3717;1.0988;-103.7985;31.0328;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.0;10.4812;1.5622;-147.5808;44.1225;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.0;10.4812;1.5622;-147.5808;44.1225;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.32;7.3601;1.097;-103.6345;30.9838;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.32;7.3601;1.097;-103.6345;30.9838;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.03;10.5161;1.5674;-148.0727;44.2695;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.03;10.5161;1.5674;-148.0727;44.2695;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.03;10.5161;1.5674;-148.0727;44.2695;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.03;10.5161;1.5674;-148.0727;44.2695;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.18;7.1971;1.0727;-101.3388;30.2974;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.18;7.1971;1.0727;-101.3388;30.2974;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.99;10.4695;1.5605;-147.4168;44.0734;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;8.99;10.4695;1.5605;-147.4168;44.0734;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.3;7.3368;1.0936;-103.3065;30.8857;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.3;7.3368;1.0936;-103.3065;30.8857;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.86;7.989;1.1908;-112.4893;33.6311;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.86;7.989;1.1908;-112.4893;33.6311;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.2;10.7141;1.5969;-150.8603;45.103;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.2;10.7141;1.5969;-150.8603;45.103;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.24;10.7607;1.6039;-151.5163;45.2991;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;9.24;10.7607;1.6039;-151.5163;45.2991;879056640;ALUP3;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.75;7.8609;1.1717;-110.6856;33.0918;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.75;7.8609;1.1717;-110.6856;33.0918;879056640;ALUP4;21490
6.6123;21490;0.8587;0.8921;5.761;0.204;6.59;7.6745;1.1439;-108.0619;32.3074;879056640;ALUP4;21490
