assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.3;-0.1084;-0.0839;-1.8646;1.4311;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.3;-0.1084;-0.0839;-1.8646;1.9361;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.7;-0.0801;-0.062;-1.3782;1.9361;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.7;-0.0801;-0.062;-1.3782;1.4311;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.3;-0.1084;-0.0839;-1.8646;1.9361;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.3;-0.1084;-0.0839;-1.8646;1.4311;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.25;-0.1061;-0.0821;-1.8241;1.4732;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.25;-0.1061;-0.0821;-1.8241;1.8941;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.75;-0.0825;-0.0638;-1.4187;1.4732;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.75;-0.0825;-0.0638;-1.4187;1.8941;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.26;-0.1065;-0.0824;-1.8322;1.4732;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.26;-0.1065;-0.0824;-1.8322;1.9025;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.75;-0.0825;-0.0638;-1.4187;1.4732;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.75;-0.0825;-0.0638;-1.4187;1.9025;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.32;-0.1094;-0.0846;-1.8808;1.953;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.32;-0.1094;-0.0846;-1.8808;1.5152;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.8;-0.0849;-0.0657;-1.4592;1.953;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.8;-0.0849;-0.0657;-1.4592;1.5152;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.35;-0.1108;-0.0857;-1.9051;1.5068;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.35;-0.1108;-0.0857;-1.9051;1.9782;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.79;-0.0844;-0.0653;-1.4511;1.5068;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.79;-0.0844;-0.0653;-1.4511;1.9782;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.8;-0.0849;-0.0657;-1.4592;1.5152;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.8;-0.0849;-0.0657;-1.4592;1.9025;41719725;RNEW4;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.26;-0.1065;-0.0824;-1.8322;1.5152;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.26;-0.1065;-0.0824;-1.8322;1.9025;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.25;-0.1061;-0.0821;-1.8241;1.4984;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;2.25;-0.1061;-0.0821;-1.8241;1.8941;41719725;RNEW3;21636
33.7067;21636;-21.2115;-18.566;-27.4142;0.0;1.78;-0.0839;-0.0649;-1.443;1.4984;41719725;RNEW4;21636
