assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
261.6936;22179;29.2907;28.9474;248.5785;44.789;7.26;0.2479;0.0292;0.2207;0.1621;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;6.18;0.211;0.0249;0.1879;0.138;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;5.52;0.1885;0.0222;0.1678;0.1232;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;5.95;0.2031;0.0239;0.1809;0.1328;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;4.87;0.1663;0.0196;0.1481;0.1087;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;4.83;0.1649;0.0194;0.1469;0.1078;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;5.04;0.1721;0.0203;0.1532;0.1125;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;5.35;0.1827;0.0215;0.1627;0.1194;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;5.82;0.1987;0.0234;0.177;0.1299;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;5.57;0.1902;0.0224;0.1694;0.1244;862287;AFLT3;22179
261.6936;22179;29.2907;28.9474;248.5785;44.789;5.42;0.185;0.0218;0.1648;0.121;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.52;0.1925;0.0216;0.1746;0.1229;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.31;0.1851;0.0208;0.1679;0.1182;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.5;0.1918;0.0215;0.1739;0.1225;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.04;0.1757;0.0197;0.1594;0.1122;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.02;0.2099;0.0236;0.1904;0.134;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.3;0.2197;0.0247;0.1992;0.1403;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.11;0.213;0.0239;0.1932;0.136;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.82;0.2029;0.0228;0.184;0.1296;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.36;0.2218;0.0249;0.2011;0.1416;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.56;0.2287;0.0257;0.2074;0.1461;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.48;0.2259;0.0254;0.2049;0.1443;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.54;0.228;0.0256;0.2068;0.1456;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.54;0.228;0.0256;0.2068;0.1456;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.07;0.2116;0.0238;0.1919;0.1352;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.58;0.2294;0.0258;0.2081;0.1465;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.09;0.2123;0.0238;0.1926;0.1356;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.07;0.2116;0.0238;0.1919;0.1352;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.99;0.2089;0.0235;0.1894;0.1334;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.9;0.2057;0.0231;0.1866;0.1314;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;6.13;0.2137;0.024;0.1938;0.1365;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.88;0.205;0.023;0.1859;0.1309;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.64;0.1967;0.0221;0.1784;0.1256;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.99;0.2089;0.0235;0.1894;0.1334;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.95;0.2075;0.0233;0.1882;0.1325;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.65;0.197;0.0221;0.1787;0.1258;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.76;0.2008;0.0226;0.1821;0.1283;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.56;0.1939;0.0218;0.1758;0.1238;862287;AFLT3;22179
267.7693;22179;28.6795;28.3456;255.4324;44.9108;5.6;0.1953;0.0219;0.1771;0.1247;862287;AFLT3;22179
