assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
8.4268;22349;1.2724;1.5723;6.5037;10.3682;20.17;15.8513;3.1013;15.0313;1.9454;88610358;ARZZ3;22349
8.4268;22349;1.2724;1.5723;6.5037;10.3682;19.97;15.6942;3.0706;14.8823;1.9261;88610358;ARZZ3;22349
8.4268;22349;1.2724;1.5723;6.5037;10.3682;19.85;15.5999;3.0521;14.7929;1.9145;88610358;ARZZ3;22349
8.4268;22349;1.2724;1.5723;6.5037;10.3682;20.03;15.7413;3.0798;14.927;1.9319;88610358;ARZZ3;22349
8.4268;22349;1.2724;1.5723;6.5037;10.3682;19.37;15.2226;2.9783;14.4351;1.8682;88610358;ARZZ3;22349
8.4268;22349;1.2724;1.5723;6.5037;10.3682;20.16;15.8435;3.0998;15.0239;1.9444;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;19.81;15.4709;2.957;18.137;1.8746;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.01;15.6271;2.9869;18.3201;1.8935;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.41;15.9394;3.0466;18.6863;1.9314;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.78;16.2284;3.1018;19.0251;1.9664;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.98;16.3846;3.1317;19.2082;1.9853;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.9;16.3221;3.1197;19.1349;1.9778;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.58;16.0722;3.0719;18.842;1.9475;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;21.0;16.4002;3.1346;19.2265;1.9872;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.97;16.3768;3.1302;19.199;1.9844;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;21.63;16.8922;3.2287;19.8033;2.0468;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.94;16.3534;3.1257;19.1716;1.9815;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;20.42;15.9473;3.0481;18.6955;1.9323;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;19.93;15.5646;2.9749;18.2469;1.886;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;19.75;15.424;2.9481;18.0821;1.8689;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;19.45;15.1897;2.9033;17.8074;1.8406;88610358;ARZZ3;22349
9.218;22349;1.2805;1.5386;6.6993;10.5675;19.56;15.2756;2.9197;17.9081;1.851;88610358;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.61;15.3142;2.9271;17.9533;1.8556;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.08;15.6812;2.9972;18.3836;1.9001;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.85;15.5016;2.9629;18.1731;1.8783;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.77;15.4392;2.9509;18.0998;1.8708;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.16;15.7437;3.0092;18.4569;1.9077;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.55;16.0483;3.0674;18.8139;1.9446;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.92;16.3372;3.1226;19.1527;1.9796;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.63;16.1108;3.0793;18.8872;1.9522;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.89;16.3138;3.1181;19.1252;1.9768;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.78;16.2279;3.1017;19.0245;1.9663;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.82;15.4782;2.9584;18.1456;1.8755;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.98;15.6032;2.9823;18.2921;1.8906;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.1;15.6969;3.0002;18.4019;1.902;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.08;15.6812;2.9972;18.3836;1.9001;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.14;15.7281;3.0062;18.4386;1.9058;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.99;15.611;2.9838;18.3012;1.8916;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.74;15.4157;2.9465;18.0724;1.8679;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.84;15.4938;2.9614;18.1639;1.8774;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.73;15.4079;2.945;18.0632;1.867;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.81;15.4704;2.9569;18.1364;1.8746;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.69;15.3767;2.939;18.0266;1.8632;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.73;15.4079;2.945;18.0632;1.867;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.43;15.9546;3.0495;18.7041;1.9332;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.18;15.7593;3.0121;18.4752;1.9096;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.12;15.7125;3.0032;18.4203;1.9039;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.1;15.6969;3.0002;18.4019;1.902;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.73;16.1889;3.0942;18.9787;1.9616;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.51;16.017;3.0614;18.7773;1.9408;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.26;15.8218;3.0241;18.5484;1.9171;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.04;15.65;2.9912;18.347;1.8963;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.02;15.6344;2.9883;18.3287;1.8944;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;20.23;15.7984;3.0196;18.521;1.9143;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.99;15.611;2.9838;18.3012;1.8916;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.7;15.3845;2.9405;18.0357;1.8642;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.69;15.3767;2.939;18.0266;1.8632;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.61;15.3142;2.9271;17.9533;1.8556;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.7;15.3845;2.9405;18.0357;1.8642;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.76;15.4313;2.9495;18.0907;1.8698;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.55;15.2673;2.9181;17.8984;1.85;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.43;15.1736;2.9002;17.7885;1.8386;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.84;15.4938;2.9614;18.1639;1.8774;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.8;15.4626;2.9554;18.1273;1.8736;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.49;15.2205;2.9092;17.8435;1.8443;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.43;15.1736;2.9002;17.7885;1.8386;88607631;ARZZ3;22349
9.2182;22349;1.2805;1.5387;6.6995;10.5678;19.26;15.0409;2.8748;17.6329;1.8225;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.85;15.4602;3.0516;14.2648;1.8355;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.86;15.468;3.0532;14.272;1.8364;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;20.05;15.616;3.0824;14.4085;1.854;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.92;15.5147;3.0624;14.3151;1.842;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.92;15.5147;3.0624;14.3151;1.842;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.86;15.468;3.0532;14.272;1.8364;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.21;14.9617;2.9532;13.8049;1.7763;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.24;14.9851;2.9579;13.8264;1.7791;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.33;15.0552;2.9717;13.8911;1.7874;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.16;14.9228;2.9456;13.7689;1.7717;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.01;14.806;2.9225;13.6611;1.7578;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;19.01;14.806;2.9225;13.6611;1.7578;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;18.77;14.619;2.8856;13.4887;1.7356;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;18.64;14.5178;2.8656;13.3952;1.7236;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;18.34;14.2841;2.8195;13.1796;1.6959;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;18.1;14.0972;2.7826;13.0072;1.6737;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;17.05;13.2794;2.6212;12.2526;1.5766;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;17.19;13.3885;2.6427;12.3532;1.5895;88607631;ARZZ3;22349
8.8365;22349;1.2839;1.5186;6.5047;10.8144;17.36;13.5209;2.6688;12.4754;1.6053;88607631;ARZZ3;22349
