assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
12.135;22365;1.156;1.1478;12.1329;0.0;11.83;10.2334;0.975;17.3012;3.5506;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;11.59;10.0258;0.9553;16.9502;3.4785;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;11.31;9.7836;0.9322;16.5407;3.3945;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.71;9.2645;0.8827;15.6633;3.2144;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.83;9.3683;0.8926;15.8387;3.2504;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.19;8.8147;0.8399;14.9028;3.0583;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.05;8.6936;0.8283;14.698;3.0163;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.02;8.6677;0.8259;14.6541;3.0073;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.1;8.7369;0.8324;14.7711;3.0313;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.15;8.7801;0.8366;14.8443;3.0463;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.67;9.2299;0.8794;15.6048;3.2024;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.8;9.3424;0.8901;15.7949;3.2414;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.85;9.3856;0.8943;15.868;3.2564;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.61;9.178;0.8745;15.517;3.1844;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.43;9.0223;0.8596;15.2538;3.1304;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.26;8.8753;0.8456;15.0051;3.0794;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.59;9.1607;0.8728;15.4878;3.1784;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.6;9.1694;0.8737;15.5024;3.1814;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.47;9.0569;0.8629;15.3123;3.1424;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.67;9.2299;0.8794;15.6048;3.2024;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.08;8.7196;0.8308;14.7419;3.0253;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;9.78;8.4601;0.8061;14.3031;2.9353;265835047;ENAT3;22365
12.135;22365;1.156;1.1478;12.1329;0.0;10.1;8.7369;0.8324;14.7711;3.0313;265835047;ENAT3;22365
