assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
10.751;22799;0.2313;0.4621;7.241;3.0379;6.82;29.4891;0.9419;-143.8055;2.245;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;6.88;29.7485;0.9501;-145.0706;2.2647;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.04;30.4404;0.9722;-148.4444;2.3174;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.08;30.6133;0.9778;-149.2878;2.3305;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.13;30.8295;0.9847;-150.3421;2.347;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.3;31.5646;1.0081;-153.9267;2.403;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.4;31.997;1.022;-156.0353;2.4359;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.44;32.1699;1.0275;-156.8787;2.449;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.41;32.0402;1.0233;-156.2461;2.4392;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.41;32.0402;1.0233;-156.2461;2.4392;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.55;32.6456;1.0427;-159.1982;2.4852;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.25;31.3484;1.0012;-152.8724;2.3865;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.32;31.6511;1.0109;-154.3484;2.4095;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.49;32.3861;1.0344;-157.933;2.4655;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.53;32.5591;1.0399;-158.7764;2.4787;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.5;32.4294;1.0358;-158.1439;2.4688;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.72;33.3806;1.0661;-162.7828;2.5412;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;7.95;34.3751;1.0979;-167.6325;2.6169;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.22;35.5426;1.1352;-173.3257;2.7058;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.27;35.7588;1.1421;-174.38;2.7223;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.16;35.2831;1.1269;-172.0605;2.686;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.22;35.5426;1.1352;-173.3257;2.7058;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.0;34.5913;1.1048;-168.6868;2.6334;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.18;35.3696;1.1297;-172.4823;2.6926;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.38;36.2344;1.1573;-176.6994;2.7585;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.07;34.894;1.1145;-170.1628;2.6564;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.1;35.0237;1.1186;-170.7954;2.6663;11786990;SQIA3;22799
10.751;22799;0.2313;0.4621;7.241;3.0379;8.44;36.4938;1.1656;-177.9646;2.7782;11786990;SQIA3;22799
17.4872;22799;0.1853;0.323;7.034;4.082;8.82;47.6013;1.2539;12.7263;2.1607;11786990;SQIA3;22799
17.4872;22799;0.1853;0.323;7.034;4.082;8.94;48.2489;1.271;12.8995;2.1901;11786990;SQIA3;22799
17.4872;22799;0.1853;0.323;7.034;4.082;9.04;48.7886;1.2852;13.0437;2.2146;11786990;SQIA3;22799
17.4872;22799;0.1853;0.323;7.034;4.082;9.54;51.4871;1.3563;13.7652;2.3371;11786990;SQIA3;22799
17.4872;22799;0.1853;0.323;7.034;4.082;9.66;52.1348;1.3733;13.9383;2.3665;11786990;SQIA3;22799
17.4872;22799;0.1853;0.323;7.034;4.082;9.61;51.8649;1.3662;13.8662;2.3542;11786990;SQIA3;22799
