assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.07;32.6446;1.7955;-348.7336;0.7079;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.28;33.774;1.8576;-360.7985;0.7324;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.41;34.4732;1.896;-368.2672;0.7476;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.27;33.7202;1.8546;-360.224;0.7312;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.24;33.5589;1.8457;-358.5004;0.7277;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.24;33.5589;1.8457;-358.5004;0.7277;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.24;33.5589;1.8457;-358.5004;0.7277;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.24;33.5589;1.8457;-358.5004;0.7277;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.16;33.1287;1.8221;-353.9042;0.7184;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.16;33.1287;1.8221;-353.9042;0.7184;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.3;33.8816;1.8635;-361.9475;0.7347;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.29;33.8278;1.8605;-361.373;0.7336;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.37;34.258;1.8842;-365.9692;0.7429;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.35;34.1505;1.8783;-364.8201;0.7406;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.24;33.5589;1.8457;-358.5004;0.7277;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.45;34.6883;1.9079;-370.5653;0.7522;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.25;33.6127;1.8487;-359.0749;0.7289;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.25;33.6127;1.8487;-359.0749;0.7289;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.32;33.9891;1.8694;-363.0966;0.7371;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.29;33.8278;1.8605;-361.373;0.7336;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.41;34.4732;1.896;-368.2672;0.7476;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.65;35.7639;1.967;-382.0557;0.7755;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.75;36.3017;1.9966;-387.8009;0.7872;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.04;37.8613;2.0824;-404.462;0.821;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.16;38.5067;2.1179;-411.3562;0.835;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.05;37.9151;2.0853;-405.0365;0.8222;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.41;39.8512;2.1918;-425.7192;0.8642;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.32;39.3672;2.1652;-420.5485;0.8537;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.26;39.0445;2.1474;-417.1014;0.8467;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.24;38.9369;2.1415;-415.9524;0.8444;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.11;38.2378;2.1031;-408.4836;0.8292;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.08;38.0764;2.0942;-406.7601;0.8257;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;7.05;37.9151;2.0853;-405.0365;0.8222;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.88;37.0008;2.035;-395.2697;0.8024;213491586;MOVI3;23825
3.7915;23825;0.1859;0.1852;3.3808;0.0;6.92;37.216;2.0469;-397.5678;0.807;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;6.93;58.4181;1.1846;-1884.7092;1.0498;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;7.11;59.9354;1.2154;-1933.6626;1.0771;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;7.11;59.9354;1.2154;-1933.6626;1.0771;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;6.95;58.5867;1.1881;-1890.1484;1.0528;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;6.88;57.9966;1.1761;-1871.111;1.0422;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;6.9;58.1652;1.1795;-1876.5502;1.0453;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;6.91;58.2495;1.1812;-1879.2699;1.0468;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;6.86;57.828;1.1727;-1865.6717;1.0392;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;6.87;57.9123;1.1744;-1868.3913;1.0407;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;6.99;58.9239;1.1949;-1901.027;1.0589;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;7.31;61.6214;1.2496;-1988.0554;1.1074;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;7.3;61.5371;1.2479;-1985.3358;1.1058;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;7.32;61.7057;1.2513;-1990.775;1.1089;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;7.31;61.6214;1.2496;-1988.0554;1.1074;213491586;MOVI3;23825
5.8643;23825;0.1186;0.1179;5.8499;0.0;7.28;61.3685;1.2445;-1979.8965;1.1028;213491586;MOVI3;23825
