assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;61.27;-32.027;-21.8698;-1826.1213;6.7262;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;59.07;-30.877;-21.0846;-1760.5515;6.4847;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;56.29;-29.4239;-20.0923;-1677.695;6.1795;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;56.82;-29.7009;-20.2814;-1693.4913;6.2377;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;58.34;-30.4955;-20.824;-1738.7942;6.4046;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;59.66;-31.1855;-21.2951;-1778.1361;6.5495;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;59.0;-30.8405;-21.0596;-1758.4651;6.477;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;59.24;-30.9659;-21.1452;-1765.6182;6.5034;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;58.7;-30.6836;-20.9525;-1749.5238;6.4441;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;58.02;-30.3282;-20.7098;-1729.2567;6.3694;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;58.08;-30.3596;-20.7312;-1731.045;6.376;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;56.4;-29.4814;-20.1315;-1680.9735;6.1916;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;55.65;-29.0893;-19.8638;-1658.6201;6.1093;1256140204;AZUL4;24112
1.653;24112;-1.9131;-1.8898;-2.8016;0.0;48.25;-25.2212;-17.2224;-1438.0668;5.2969;1256140204;AZUL4;24112
