assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.35;21.606;3.3244;15.2954;0.8778;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.44;21.7517;3.3468;15.3985;0.8838;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.57;21.9621;3.3792;15.5475;0.8923;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.8;22.3343;3.4365;15.811;0.9074;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.53;21.8974;3.3692;15.5017;0.8897;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.56;21.9459;3.3767;15.536;0.8916;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.44;21.7517;3.3468;15.3985;0.8838;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.56;21.9459;3.3767;15.536;0.8916;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.66;22.1078;3.4016;15.6506;0.8982;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.67;22.1239;3.4041;15.6621;0.8989;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.66;22.1078;3.4016;15.6506;0.8982;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.2;21.3633;3.2871;15.1236;0.868;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.17;21.3147;3.2796;15.0892;0.866;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.1;21.2014;3.2622;15.009;0.8614;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;12.94;20.9425;3.2223;14.8257;0.8509;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;12.98;21.0072;3.2323;14.8715;0.8535;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.61;22.0268;3.3892;15.5933;0.8949;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.53;21.8974;3.3692;15.5017;0.8897;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.58;21.9783;3.3817;15.5589;0.893;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.51;21.865;3.3643;15.4787;0.8884;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.34;21.5899;3.3219;15.284;0.8772;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.26;21.4604;3.302;15.1923;0.8719;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.03;21.0881;3.2447;14.9288;0.8568;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;12.94;20.9425;3.2223;14.8257;0.8509;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.35;21.606;3.3244;15.2954;0.8778;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.79;22.3182;3.434;15.7996;0.9068;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.81;22.3505;3.439;15.8225;0.9081;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.4;23.3054;3.5859;16.4984;0.9469;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.72;23.8233;3.6656;16.8651;0.9679;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.33;23.1921;3.5685;16.4182;0.9423;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.15;22.9008;3.5236;16.212;0.9304;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.18;22.9493;3.5311;16.2464;0.9324;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.42;23.3378;3.5909;16.5214;0.9482;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.4;23.3054;3.5859;16.4984;0.9469;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.47;23.4187;3.6033;16.5786;0.9515;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.54;23.532;3.6208;16.6588;0.9561;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.96;24.2117;3.7253;17.14;0.9837;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.87;24.0661;3.7029;17.0369;0.9778;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.76;23.888;3.6755;16.9109;0.9706;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.74;23.8557;3.6706;16.888;0.9692;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.91;24.1308;3.7129;17.0828;0.9804;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;15.05;24.3574;3.7478;17.2432;0.9896;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;15.16;24.5354;3.7752;17.3692;0.9969;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;15.18;24.5678;3.7801;17.3921;0.9982;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;15.2;24.6001;3.7851;17.415;0.9995;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.68;23.7586;3.6556;16.8192;0.9653;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.37;23.2568;3.5784;16.4641;0.9449;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.42;23.3378;3.5909;16.5214;0.9482;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.24;23.0465;3.5461;16.3151;0.9364;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;14.11;22.8361;3.5137;16.1662;0.9278;1980958950;CRFB3;24171
8.5691;24171;0.6179;1.0268;4.0157;15.2078;13.89;22.48;3.4589;15.9141;0.9133;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;13.62;17.5495;2.3364;15.8059;0.8831;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;13.77;17.7428;2.3621;15.98;0.8928;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.06;18.1165;2.4119;16.3165;0.9117;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.35;18.4902;2.4616;16.6531;0.9305;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.42;18.5803;2.4736;16.7343;0.935;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.38;18.5288;2.4668;16.6879;0.9324;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.49;18.6705;2.4856;16.8155;0.9395;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.33;18.4644;2.4582;16.6298;0.9292;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.43;18.5932;2.4753;16.7459;0.9356;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.14;18.2196;2.4256;16.4093;0.9168;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;13.95;17.9747;2.393;16.1889;0.9045;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.6;18.8123;2.5045;16.9432;0.9467;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.55;18.7479;2.4959;16.8852;0.9434;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.65;18.8767;2.5131;17.0012;0.9499;1980958950;CRFB3;24171
9.2223;24171;0.7761;1.2618;5.8295;15.4225;14.48;18.6577;2.4839;16.8039;0.9389;1980958950;CRFB3;24171
