assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";24392;"";"";"";"";5.63;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.43;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.46;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.4;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.33;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.36;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.22;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.27;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.27;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.25;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.31;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.39;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.33;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.65;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.82;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.91;"";"";"";"";"";HAPV3;24392
"";24392;"";"";"";"";5.78;"";"";"";"";"";HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;6.01;5.7428;5.8917;-388.0221;0.9972;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;6.39;6.1059;6.2642;-412.556;1.0603;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;6.38;6.0963;6.2544;-411.9104;1.0586;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.95;5.6854;5.8329;-384.1484;0.9873;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;6.05;5.781;5.9309;-390.6047;1.0039;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.76;5.5039;5.6466;-371.8815;0.9558;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.81;5.5517;5.6956;-375.1096;0.9641;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.85;5.5899;5.7348;-377.6921;0.9707;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.83;5.5708;5.7152;-376.4008;0.9674;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.91;5.6472;5.7936;-381.5659;0.9807;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.71;5.4561;5.5976;-368.6533;0.9475;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.56;5.3128;5.4505;-358.9689;0.9226;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.39;5.1503;5.2839;-347.9932;0.8944;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.4;5.1599;5.2937;-348.6389;0.896;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.42;5.179;5.3133;-349.9301;0.8993;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.48;5.2363;5.3721;-353.8039;0.9093;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.22;4.9879;5.1172;-337.0176;0.8662;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.27;5.0357;5.1662;-340.2457;0.8745;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.27;5.0357;5.1662;-340.2457;0.8745;672033690;HAPV3;24392
2.4362;24392;1.0465;1.0427;1.0201;0.0;5.15;4.921;5.0486;-332.4982;0.8545;672033690;HAPV3;24392
