assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
39.7395;24600;0.4885;"";5.4589;6.7797;6.62;13.5513;1.2127;-7.2894;0.9764;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;6.77;13.8584;1.2402;-7.4546;0.9986;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;6.76;13.8379;1.2383;-7.4436;0.9971;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;6.69;13.6946;1.2255;-7.3665;0.9868;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;6.6;13.5104;1.209;-7.2674;0.9735;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;6.58;13.4694;1.2054;-7.2454;0.9705;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;6.71;13.7356;1.2292;-7.3885;0.9897;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;6.84;14.0017;1.253;-7.5317;1.0089;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.02;14.3701;1.286;-7.7299;1.0354;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.37;15.0866;1.3501;-8.1153;1.0871;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.68;15.7212;1.4069;-8.4566;1.1328;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.53;15.4141;1.3794;-8.2915;1.1107;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.45;15.2504;1.3647;-8.2034;1.0989;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.49;15.3322;1.3721;-8.2474;1.1048;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.43;15.2094;1.3611;-8.1813;1.0959;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.25;14.841;1.3281;-7.9831;1.0694;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.36;15.0661;1.3482;-8.1043;1.0856;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.69;15.7416;1.4087;-8.4676;1.1343;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.77;15.9054;1.4234;-8.5557;1.1461;500623200;BMGB4;24600
39.7395;24600;0.4885;"";5.4589;6.7797;7.93;16.2329;1.4527;-8.7319;1.1697;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.76;10.5713;0.9644;-47.5483;1.075;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.7;10.4896;0.9569;-47.1806;1.0667;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.52;10.2444;0.9346;-46.0777;1.0418;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.53;10.258;0.9358;-46.139;1.0432;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.49;10.2035;0.9308;-45.8939;1.0376;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.51;10.2308;0.9333;-46.0164;1.0404;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.53;10.258;0.9358;-46.139;1.0432;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.9;10.762;0.9818;-48.4061;1.0944;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.94;10.8165;0.9868;-48.6512;1.1;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.97;10.8574;0.9905;-48.835;1.1041;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.02;10.9255;0.9967;-49.1414;1.1111;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.23;11.2116;1.0228;-50.4281;1.1402;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.34;11.3615;1.0365;-51.1021;1.1554;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.34;11.3615;1.0365;-51.1021;1.1554;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.24;11.2252;1.024;-50.4894;1.1415;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.26;11.2525;1.0265;-50.6119;1.1443;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.34;11.3615;1.0365;-51.1021;1.1554;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.25;11.2388;1.0253;-50.5507;1.1429;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.26;11.2525;1.0265;-50.6119;1.1443;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;8.02;10.9255;0.9967;-49.1414;1.1111;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.83;10.6667;0.9731;-47.9772;1.0847;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.73;10.5305;0.9607;-47.3644;1.0709;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.8;10.6258;0.9694;-47.7934;1.0806;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.81;10.6394;0.9706;-47.8546;1.082;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.85;10.6939;0.9756;-48.0997;1.0875;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.85;10.6939;0.9756;-48.0997;1.0875;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.68;10.4623;0.9544;-47.0581;1.064;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.44;10.1354;0.9246;-45.5875;1.0307;500623200;BMGB4;24600
41.1685;24600;0.7341;"";8.0465;7.2183;7.48;10.1899;0.9296;-45.8326;1.0362;500623200;BMGB4;24600
