assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
13.4239;24821;0.2154;0.6058;2.5737;3.8941;60.51;280.9127;23.511;79.4167;15.5391;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;62.98;292.3795;24.4707;82.6584;16.1734;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;64.38;298.8789;25.0147;84.4959;16.5329;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;64.57;299.761;25.0885;84.7452;16.5817;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;65.21;302.7321;25.3372;85.5852;16.7461;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;67.69;314.2453;26.3008;88.8401;17.3829;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;66.24;307.5138;25.7374;86.937;17.0106;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;64.17;297.904;24.9331;84.2203;16.479;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;65.26;302.9642;25.3566;85.6508;16.7589;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;66.08;306.771;25.6752;86.727;16.9695;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;65.94;306.1211;25.6208;86.5433;16.9335;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;65.94;306.1211;25.6208;86.5433;16.9335;1985320920;RDOR3;24821
13.4239;24821;0.2154;0.6058;2.5737;3.8941;66.23;307.4674;25.7335;86.9239;17.008;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;64.0;296.6424;9.3337;-479.0236;16.0269;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;63.25;293.1661;9.2243;-473.4101;15.8391;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;60.09;278.5194;8.7635;-449.7583;15.0477;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;59.22;274.4869;8.6366;-443.2466;14.8299;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;60.46;280.2344;8.8174;-452.5276;15.1404;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;59.5;275.7847;8.6774;-445.3423;14.9;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;62.35;288.9946;9.093;-466.6738;15.6137;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;64.47;298.8209;9.4022;-482.5415;16.1446;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;65.2;302.2044;9.5087;-488.0053;16.3274;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;65.49;303.5486;9.551;-490.1759;16.4;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;65.34;302.8533;9.5291;-489.0532;16.3624;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;65.97;305.7734;9.621;-493.7686;16.5202;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;66.07;306.2369;9.6356;-494.5171;16.5452;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;65.99;305.8661;9.6239;-493.9183;16.5252;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;65.39;303.0851;9.5364;-489.4274;16.375;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;64.51;299.0063;9.4081;-482.8408;16.1546;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;62.33;288.9019;9.0901;-466.5241;15.6087;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;63.16;292.749;9.2112;-472.7364;15.8165;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;63.84;295.9008;9.3103;-477.8261;15.9868;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;65.88;305.3563;9.6079;-493.0949;16.4977;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;66.6;308.6935;9.7129;-498.484;16.678;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;68.98;319.7249;10.06;-516.2977;17.274;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;71.32;330.5709;10.4012;-533.812;17.8599;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;72.77;337.2917;10.6127;-544.6648;18.2231;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;71.41;330.988;10.4143;-534.4856;17.8825;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;72.14;334.3716;10.5208;-539.9494;18.0653;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;70.54;326.9555;10.2875;-527.9739;17.6646;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;70.31;325.8895;10.2539;-526.2524;17.607;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;71.71;332.3785;10.4581;-536.731;17.9576;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;71.59;331.8223;10.4406;-535.8328;17.9276;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;69.96;324.2672;10.2029;-523.6327;17.5194;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;70.95;328.8559;10.3473;-531.0426;17.7673;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;68.95;319.5858;10.0556;-516.0731;17.2665;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;70.44;326.492;10.2729;-527.2254;17.6396;1985320920;RDOR3;24821
17.5705;24821;0.2157;0.6414;6.8569;3.9933;70.67;327.5581;10.3064;-528.9469;17.6972;1985320920;RDOR3;24821
