assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
4.8733;25003;0.4986;0.6201;4.4641;0.0;6.88;13.7995;1.5412;-695.5905;0.1471;206250684;SIMH3;25003
4.8733;25003;0.4986;0.6201;4.4641;0.0;6.65;13.3382;1.4897;-672.3368;0.1422;206250684;SIMH3;25003
4.8733;25003;0.4986;0.6201;4.4641;0.0;6.65;13.3382;1.4897;-672.3368;0.1422;206250684;SIMH3;25003
4.8733;25003;0.4986;0.6201;4.4641;0.0;6.68;13.3984;1.4964;-675.3699;0.1428;206250684;SIMH3;25003
4.8733;25003;0.4986;0.6201;4.4641;0.0;6.58;13.1978;1.474;-665.2596;0.1407;206250684;SIMH3;25003
4.8733;25003;0.4986;0.6201;4.4641;0.0;6.53;13.0975;1.4628;-660.2044;0.1396;206250684;SIMH3;25003
4.8733;25003;0.4986;0.6201;4.4641;0.0;6.11;12.2551;1.3687;-617.741;0.1306;206250684;SIMH3;25003
4.8733;25003;0.4986;0.6201;4.4641;0.0;5.97;11.9743;1.3373;-603.5866;0.1277;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;5.95;7.8855;0.6865;32.8733;0.1254;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.17;8.1771;0.7118;34.0887;0.13;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;5.97;7.912;0.6888;32.9838;0.1258;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.15;8.1506;0.7095;33.9782;0.1296;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.04;8.0048;0.6968;33.3705;0.1273;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.17;8.1771;0.7118;34.0887;0.13;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.08;8.0578;0.7015;33.5915;0.1281;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.39;8.4686;0.7372;35.3042;0.1346;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.44;8.5349;0.743;35.5805;0.1357;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.4;8.4819;0.7384;35.3595;0.1348;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.33;8.3891;0.7303;34.9727;0.1334;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.58;8.7205;0.7591;36.354;0.1386;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.62;8.7735;0.7638;36.575;0.1395;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.79;8.9988;0.7834;37.5142;0.1431;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.79;8.9988;0.7834;37.5142;0.1431;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.9;9.1445;0.7961;38.1219;0.1454;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.83;9.0518;0.788;37.7352;0.1439;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.65;8.8132;0.7672;36.7407;0.1401;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.46;8.5614;0.7453;35.691;0.1361;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.04;8.0048;0.6968;33.3705;0.1273;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.18;8.1903;0.713;34.144;0.1302;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.01;7.965;0.6934;33.2048;0.1266;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.26;8.2964;0.7222;34.586;0.1319;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.64;8.8;0.7661;36.6855;0.1399;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.76;8.959;0.7799;37.3484;0.1424;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.16;9.4891;0.8261;39.5584;0.1509;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.02;9.3036;0.8099;38.7849;0.1479;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.95;9.2108;0.8018;38.3982;0.1464;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.02;9.3036;0.8099;38.7849;0.1479;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.83;9.0518;0.788;37.7352;0.1439;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.92;9.1711;0.7984;38.2324;0.1458;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.88;9.118;0.7938;38.0114;0.145;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.88;9.118;0.7938;38.0114;0.145;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.73;8.9192;0.7764;37.1827;0.1418;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.86;9.0915;0.7914;37.9009;0.1445;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.84;9.065;0.7891;37.7904;0.1441;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.05;9.3433;0.8134;38.9507;0.1485;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.25;9.6084;0.8364;40.0556;0.1528;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.21;9.5554;0.8318;39.8347;0.1519;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.14;9.4626;0.8238;39.4479;0.1504;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.07;9.3699;0.8157;39.0612;0.149;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;6.94;9.1976;0.8007;38.3429;0.1462;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.49;9.9265;0.8641;41.3816;0.1578;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.49;9.9265;0.8641;41.3816;0.1578;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.58;10.0458;0.8745;41.8789;0.1597;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.43;9.847;0.8572;41.0501;0.1565;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.53;9.9795;0.8687;41.6026;0.1587;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.44;9.8602;0.8584;41.1054;0.1568;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.33;9.7144;0.8457;40.4976;0.1544;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.39;9.7939;0.8526;40.8291;0.1557;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.3;9.6747;0.8422;40.3319;0.1538;206250684;SIMH3;25003
25.2127;25003;0.7545;0.9715;8.6677;0.0;7.26;9.6217;0.8376;40.1109;0.153;206250684;SIMH3;25003
