assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
5.1437;25089;0.183;0.3831;1.4856;4.9413;22.34;122.0657;15.0382;45.9499;4.5211;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;21.33;116.5471;14.3583;43.8725;4.3167;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;20.04;109.4985;13.4899;41.2191;4.0556;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;19.48;106.4387;13.113;40.0673;3.9423;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;19.86;108.515;13.3688;40.8489;4.0192;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;18.94;103.4881;12.7495;38.9566;3.833;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;18.77;102.5592;12.635;38.607;3.7986;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;18.92;103.3788;12.736;38.9155;3.829;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;18.71;102.2314;12.5947;38.4835;3.7865;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;19.25;105.182;12.9582;39.5942;3.8957;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;20.75;113.3779;13.9679;42.6795;4.1993;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;20.58;112.4491;13.8534;42.3298;4.1649;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;20.39;111.4109;13.7255;41.939;4.1265;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;19.55;106.8212;13.1601;40.2113;3.9565;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;20.76;113.4326;13.9746;42.7001;4.2013;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;21.82;119.2244;14.6882;44.8803;4.4159;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;22.74;124.2513;15.3074;46.7726;4.602;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;21.9;119.6615;14.742;45.0449;4.432;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;20.36;111.247;13.7054;41.8773;4.1204;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;19.43;106.1655;13.0793;39.9645;3.9322;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;19.49;106.4933;13.1197;40.0879;3.9443;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;19.49;106.4933;13.1197;40.0879;3.9443;393992474;PETZ3;25089
5.1437;25089;0.183;0.3831;1.4856;4.9413;19.08;104.2531;12.8437;39.2446;3.8613;393992474;PETZ3;25089
4.4168;25089;0.1572;0.3289;1.2756;4.243;18.31;116.5108;14.3538;43.8588;4.3153;458833493;PETZ3;25089
4.4168;25089;0.1572;0.3289;1.2756;4.243;18.51;117.7834;14.5106;44.3379;4.3625;458833493;PETZ3;25089
4.4168;25089;0.1572;0.3289;1.2756;4.243;19.11;121.6013;14.981;45.7751;4.5039;458833493;PETZ3;25089
4.4168;25089;0.1572;0.3289;1.2756;4.243;18.44;117.338;14.4557;44.1702;4.346;458833493;PETZ3;25089
