assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
2.8062;25186;0.3378;0.3172;2.8051;0.0;7.14;21.1353;2.5454;647.3928;1.0467;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;7.19;21.2833;2.5632;651.9264;1.054;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;7.17;21.2241;2.556;650.113;1.0511;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;7.21;21.3425;2.5703;653.7398;1.0569;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;7.22;21.3721;2.5739;654.6465;1.0584;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;7.36;21.7866;2.6238;667.3405;1.0789;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;7.18;21.2537;2.5596;651.0197;1.0525;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.85;20.2769;2.442;621.0982;1.0042;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.66;19.7145;2.3742;603.8706;0.9763;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.67;19.7441;2.3778;604.7773;0.9778;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.6;19.5369;2.3528;598.4303;0.9675;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.41;18.9744;2.2851;581.2028;0.9397;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.38;18.8856;2.2744;578.4827;0.9353;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.24;18.4712;2.2245;565.7887;0.9147;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.25;18.5008;2.2281;566.6954;0.9162;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.06;17.9384;2.1603;549.4679;0.8883;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;5.97;17.672;2.1283;541.3074;0.8752;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;5.86;17.3464;2.089;531.3336;0.859;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;5.69;16.8431;2.0284;515.9195;0.8341;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;5.75;17.0207;2.0498;521.3598;0.8429;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;5.89;17.4352;2.0997;534.0537;0.8634;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.1;18.0568;2.1746;553.0947;0.8942;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.29;18.6192;2.2423;570.3222;0.9221;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.3;18.6488;2.2459;571.229;0.9235;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.06;17.9384;2.1603;549.4679;0.8883;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.16;18.2344;2.196;558.535;0.903;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.09;18.0272;2.171;552.188;0.8927;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.18;18.2936;2.2031;560.3484;0.9059;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.12;18.116;2.1817;554.9081;0.8971;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.09;18.0272;2.171;552.188;0.8927;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.35;18.7968;2.2637;575.7625;0.9309;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.13;18.1456;2.1853;555.8148;0.8986;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.05;17.9088;2.1568;548.5611;0.8869;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.03;17.8496;2.1496;546.7477;0.884;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;5.97;17.672;2.1283;541.3074;0.8752;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.1;18.0568;2.1746;553.0947;0.8942;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.06;17.9384;2.1603;549.4679;0.8883;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;5.97;17.672;2.1283;541.3074;0.8752;2209296014;GMAT3;25186
2.8062;25186;0.3378;0.3172;2.8051;0.0;6.03;17.8496;2.1496;546.7477;0.884;2209296014;GMAT3;25186
2.9003;25186;0.3491;0.3264;2.8983;0.0;5.81;16.6414;2.0046;723.8079;0.8085;2209296014;GMAT3;25186
2.9003;25186;0.3491;0.3264;2.8983;0.0;5.82;16.67;2.0081;725.0537;0.8099;2209296014;GMAT3;25186
2.9003;25186;0.3491;0.3264;2.8983;0.0;5.67;16.2404;1.9563;706.3668;0.789;2209296014;GMAT3;25186
2.9003;25186;0.3491;0.3264;2.8983;0.0;5.69;16.2977;1.9632;708.8584;0.7918;2209296014;GMAT3;25186
