assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.48;36.0112;28.8237;-21.1558;2.8967;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.08;33.7883;27.0445;-19.8499;2.7179;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.4;35.5666;28.4679;-20.8946;2.861;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.78;37.6784;30.1582;-22.1352;3.0308;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.71;37.2894;29.8468;-21.9067;2.9995;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.71;37.2894;29.8468;-21.9067;2.9995;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.78;37.6784;30.1582;-22.1352;3.0308;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.78;37.6784;30.1582;-22.1352;3.0308;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.79;37.734;30.2027;-22.1679;3.0353;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.78;37.6784;30.1582;-22.1352;3.0308;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.71;37.2894;29.8468;-21.9067;2.9995;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.65;36.956;29.5799;-21.7108;2.9727;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.72;37.345;29.8913;-21.9394;3.004;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.63;36.8448;29.491;-21.6455;2.9638;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.78;37.6784;30.1582;-22.1352;3.0308;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.88;38.2341;30.603;-22.4617;3.0755;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.88;38.2341;30.603;-22.4617;3.0755;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;6.95;38.6232;30.9144;-22.6903;3.1068;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.22;40.1236;32.1153;-23.5718;3.2275;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.43;41.2907;33.0494;-24.2574;3.3214;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.37;40.9572;32.7826;-24.0615;3.2946;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.31;40.6238;32.5157;-23.8656;3.2678;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.22;40.1236;32.1153;-23.5718;3.2275;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.33;40.7349;32.6046;-23.9309;3.2767;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.3;40.5682;32.4712;-23.8329;3.2633;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.36;40.9016;32.7381;-24.0288;3.2901;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.45;41.4018;33.1384;-24.3227;3.3303;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.51;41.7352;33.4053;-24.5185;3.3572;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;7.91;43.9582;35.1845;-25.8245;3.536;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;9.06;50.349;40.2999;-29.579;4.0501;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;9.63;53.5167;42.8353;-31.4399;4.3049;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;9.88;54.906;43.9473;-32.2561;4.4166;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;10.31;57.2956;45.86;-33.6599;4.6088;766333446;AERI3;25283
2.1451;25283;0.1799;0.2822;0.2248;2.237;9.97;55.4062;44.3476;-32.5499;4.4569;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;10.49;71.0151;8.3196;-16.4733;3.6963;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;10.28;69.5934;8.1531;-16.1436;3.6223;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;10.08;68.2395;7.9944;-15.8295;3.5518;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;10.34;69.9996;8.2006;-16.2378;3.6434;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;10.62;71.8952;8.4227;-16.6775;3.7421;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.46;77.5818;9.0889;-17.9966;4.038;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.88;80.4251;9.422;-18.6562;4.186;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.29;83.2007;9.7472;-19.3;4.3305;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.85;86.9918;10.1913;-20.1794;4.5278;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;13.01;88.075;10.3182;-20.4307;4.5842;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;13.09;88.6165;10.3817;-20.5563;4.6124;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.92;80.6959;9.4537;-18.719;4.2001;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.96;87.7365;10.2786;-20.3522;4.5666;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.78;86.5179;10.1358;-20.0695;4.5032;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.32;83.4038;9.771;-19.3471;4.3411;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.18;82.456;9.6599;-19.1273;4.2917;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.71;79.2742;9.2872;-18.3892;4.1261;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.18;82.456;9.6599;-19.1273;4.2917;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.8;79.8835;9.3586;-18.5305;4.1579;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.41;84.0131;9.8424;-19.4885;4.3728;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.39;83.8777;9.8265;-19.4571;4.3657;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;12.07;81.7114;9.5727;-18.9545;4.253;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.93;80.7636;9.4617;-18.7347;4.2037;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.68;79.0711;9.2634;-18.3421;4.1156;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.86;80.2897;9.4062;-18.6248;4.179;766333446;AERI3;25283
3.0917;25283;0.1477;0.2673;1.2609;2.838;11.81;79.9512;9.3665;-18.5462;4.1614;766333446;AERI3;25283
