assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.9;-93.7874;1.77;87.1533;571.6306;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.95;-89.0733;1.681;82.7726;542.8979;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.1;-84.8553;1.6014;78.853;517.1896;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;16.9;-83.8628;1.5827;77.9307;511.1406;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;16.7;-82.8704;1.5639;77.0085;505.0916;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.2;-85.3515;1.6108;79.3141;520.2141;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.6;-87.3365;1.6482;81.1586;532.3121;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.9;-88.8251;1.6763;82.542;541.3856;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.5;-91.8025;1.7325;85.3088;559.5326;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.36;-91.1078;1.7194;84.6632;555.2983;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.6;-92.2988;1.7419;85.7699;562.5571;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.15;-90.0657;1.6997;83.6948;548.9469;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.75;-93.0431;1.7559;86.4616;567.0939;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.29;-90.7604;1.7128;84.3404;553.1812;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.3;-90.8101;1.7138;84.3865;553.4836;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.4;-91.3063;1.7231;84.8477;556.5081;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;18.2;-90.3138;1.7044;83.9254;550.4591;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.3;-85.8478;1.6201;79.7752;523.2386;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.4;-86.344;1.6295;80.2364;526.2631;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.8;-88.3289;1.667;82.0809;538.3611;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.4;-86.344;1.6295;80.2364;526.2631;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.59;-87.2868;1.6473;81.1125;532.0097;103195962;HBRE3;25402
14.0218;25402;-0.2015;-0.1181;10.6781;0.0331;17.2;-85.3515;1.6108;79.3141;520.2141;103195962;HBRE3;25402
