assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
9.4665;25453;1.437;1.2523;5.6;8.6801;27.61;19.2141;4.9303;-465.7985;3.1808;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;26.44;23.7679;4.5579;-138.3866;2.8872;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;25.52;22.9409;4.3993;-133.5714;2.7867;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;24.57;22.0869;4.2356;-128.5991;2.683;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;23.61;21.2239;4.0701;-123.5745;2.5781;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;23.69;21.2958;4.0839;-123.9932;2.5869;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;23.19;20.8463;3.9977;-121.3762;2.5323;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;23.28;20.9272;4.0132;-121.8472;2.5421;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;24.0;21.5745;4.1373;-125.6157;2.6207;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;23.86;21.4486;4.1132;-124.883;2.6054;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;24.18;21.7363;4.1683;-126.5578;2.6404;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;24.62;22.1318;4.2442;-128.8608;2.6884;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;23.77;21.3677;4.0977;-124.4119;2.5956;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;24.55;22.0689;4.2321;-128.4944;2.6808;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;25.8;23.1926;4.4476;-135.0369;2.8173;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;26.59;23.9027;4.5838;-139.1717;2.9035;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;26.98;24.2533;4.651;-141.213;2.9461;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;28.92;25.9972;4.9855;-151.3669;3.158;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;29.7;26.6984;5.1199;-155.4494;3.2432;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;29.91;26.8872;5.1561;-156.5486;3.2661;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;29.97;26.9411;5.1665;-156.8626;3.2726;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.9;27.7771;5.3268;-161.7302;3.3742;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.33;27.2647;5.2285;-158.7469;3.3119;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;29.43;26.4557;5.0734;-154.0363;3.2137;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;29.72;26.7164;5.1234;-155.5541;3.2453;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.45;27.3726;5.2492;-159.3749;3.3251;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.51;27.4265;5.2596;-159.689;3.3316;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.02;26.9861;5.1751;-157.1243;3.2781;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.19;27.1389;5.2044;-158.0141;3.2967;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.65;27.5524;5.2837;-160.4217;3.3469;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;29.75;26.7434;5.1285;-155.7111;3.2486;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.22;27.1659;5.2096;-158.1711;3.2999;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.03;27.894;5.3492;-162.4107;3.3884;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.11;28.8648;5.5354;-168.0634;3.5063;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.1;28.8559;5.5337;-168.011;3.5052;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.36;28.1906;5.4061;-164.1379;3.4244;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.55;27.4625;5.2665;-159.8983;3.336;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.01;27.876;5.3458;-162.306;3.3862;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.8;27.6872;5.3096;-161.2068;3.3633;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.7;28.4963;5.4647;-165.9174;3.4615;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.93;29.602;5.6767;-172.3552;3.5959;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;33.12;29.7728;5.7095;-173.3497;3.6166;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.84;29.5211;5.6612;-171.8842;3.586;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.46;28.2805;5.4233;-164.6613;3.4353;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.6;27.5074;5.2751;-160.16;3.3414;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.25;28.0918;5.3871;-163.5621;3.4124;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.18;28.9278;5.5475;-168.4297;3.514;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.81;28.5952;5.4837;-166.4932;3.4736;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.14;27.9929;5.3682;-162.9864;3.4004;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;30.94;27.8131;5.3337;-161.9396;3.3786;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;31.67;28.4693;5.4595;-165.7604;3.4583;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.31;29.0446;5.5699;-169.1102;3.5282;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.06;28.8199;5.5268;-167.8017;3.5009;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.44;29.1615;5.5923;-169.7906;3.5424;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.69;29.3862;5.6354;-171.0991;3.5697;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;33.26;29.8986;5.7336;-174.0824;3.6319;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;33.44;30.0604;5.7647;-175.0246;3.6515;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;33.64;30.2402;5.7991;-176.0714;3.6734;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;33.62;30.2222;5.7957;-175.9667;3.6712;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;32.5;29.2154;5.6026;-170.1046;3.5489;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;33.63;30.2312;5.7974;-176.019;3.6723;327611016;INTB3;25453
10.7092;25453;1.1124;1.1053;5.8009;9.1578;33.47;30.0874;5.7698;-175.1816;3.6548;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;33.51;29.3606;5.5566;-315.6755;3.4795;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;33.68;29.5095;5.5848;-317.2769;3.4972;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;34.24;30.0002;5.6777;-322.5523;3.5553;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;33.38;29.2467;5.5351;-314.4508;3.466;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;31.73;27.801;5.2615;-298.9073;3.2947;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;31.47;27.5732;5.2183;-296.458;3.2677;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;31.32;27.4418;5.1935;-295.0449;3.2521;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;30.87;27.0475;5.1189;-290.8058;3.2054;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;30.93;27.1001;5.1288;-291.371;3.2116;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;30.56;26.7759;5.0675;-287.8855;3.1732;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;29.78;26.0925;4.9381;-280.5376;3.0922;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;29.88;26.1801;4.9547;-281.4796;3.1026;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;30.29;26.5393;5.0227;-285.342;3.1452;327611016;INTB3;25453
10.0882;25453;1.1413;1.0826;6.0306;9.6307;29.87;26.1713;4.953;-281.3854;3.1015;327611016;INTB3;25453
