assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.6;45.5457;6.2905;449.5721;1.1393;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.5;45.2538;6.2502;446.6902;1.132;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.7;45.8377;6.3308;452.454;1.1466;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.95;46.5676;6.4316;459.6587;1.1649;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.46;45.137;6.234;445.5375;1.1291;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.69;45.8085;6.3268;452.1658;1.1459;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.4;44.9618;6.2098;443.8084;1.1247;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.45;45.1078;6.23;445.2493;1.1283;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.45;42.1882;5.8268;416.4306;1.0553;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.25;41.6043;5.7461;410.6668;1.0407;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.26;41.6335;5.7501;410.955;1.0414;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;13.95;40.7284;5.6251;402.0212;1.0188;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.05;41.0204;5.6655;404.9031;1.0261;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;13.86;40.4656;5.5888;399.4275;1.0122;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;13.89;40.5532;5.6009;400.2921;1.0144;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.45;42.1882;5.8268;416.4306;1.0553;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.95;43.648;6.0284;430.8399;1.0918;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.44;45.0786;6.226;444.9611;1.1276;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.15;44.2319;6.109;436.6037;1.1064;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.19;44.3487;6.1252;437.7564;1.1094;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.57;42.5386;5.8751;419.8888;1.0641;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.24;41.5751;5.7421;410.3786;1.04;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.28;41.6919;5.7582;411.5314;1.0429;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.2;41.4583;5.7259;409.2259;1.0371;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;13.74;40.1153;5.5405;395.9693;1.0035;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.45;45.1078;6.23;445.2493;1.1283;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.81;43.2393;5.9719;426.8053;1.0816;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.66;42.8013;5.9114;422.4825;1.0706;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;15.35;44.8158;6.1897;442.3674;1.121;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.86;43.3852;5.9921;428.2463;1.0853;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.3;41.7503;5.7663;412.1078;1.0444;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.87;43.4144;5.9961;428.5344;1.086;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.7;42.9181;5.9276;423.6353;1.0736;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.45;42.1882;5.8268;416.4306;1.0553;89655053;POWE3;25488
2.6345;25488;0.3425;0.3426;2.4799;0.0;14.3;41.7503;5.7663;412.1078;1.0444;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.8;139.3651;1.4095;196.8687;1.1456;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.3;134.6568;1.3619;190.2177;1.1069;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.38;135.4101;1.3695;191.2818;1.1131;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.42;135.7868;1.3733;191.8139;1.1162;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.46;136.1634;1.3771;192.346;1.1193;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.25;134.186;1.3571;189.5526;1.1031;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.39;135.5043;1.3705;191.4149;1.1139;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.34;135.0334;1.3657;190.7498;1.11;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.26;134.2801;1.3581;189.6856;1.1038;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.05;132.3026;1.3381;186.8922;1.0876;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.1;132.7735;1.3429;187.5573;1.0915;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;13.82;130.1368;1.3162;183.8328;1.0698;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.07;132.491;1.34;187.1582;1.0891;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.11;132.8676;1.3438;187.6903;1.0922;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.21;133.8093;1.3533;189.0205;1.1;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.45;136.0693;1.3762;192.213;1.1185;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.41;135.6926;1.3724;191.6809;1.1155;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.14;133.1501;1.3467;188.0894;1.0946;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.72;138.6117;1.4019;195.8045;1.1394;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.68;138.2351;1.3981;195.2724;1.1364;89655053;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.14;142.5664;1.4419;201.3909;1.172;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.0;141.2481;1.4286;199.5286;1.1611;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.75;138.8939;1.4048;196.2031;1.1418;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.87;140.0239;1.4162;197.7994;1.1511;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.25;143.6022;1.4524;202.8541;1.1805;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.2;143.1314;1.4476;202.189;1.1766;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.01;141.3422;1.4295;199.6616;1.1619;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.0;141.2481;1.4286;199.5286;1.1611;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.1;142.1897;1.4381;200.8588;1.1689;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.8;139.3648;1.4095;196.8682;1.1456;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.4;145.0147;1.4667;204.8494;1.1921;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.5;145.9563;1.4762;206.1796;1.1998;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.81;139.4589;1.4105;197.0013;1.1464;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.75;138.8939;1.4048;196.2031;1.1418;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.4;135.5981;1.3714;191.5475;1.1147;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.25;134.1857;1.3571;189.5522;1.1031;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.73;138.7056;1.4029;195.9371;1.1402;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.38;135.4098;1.3695;191.2814;1.1131;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.28;134.4682;1.36;189.9512;1.1054;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.2;133.7148;1.3524;188.8871;1.0992;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.28;134.4682;1.36;189.9512;1.1054;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.53;136.8223;1.3838;193.2767;1.1247;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.75;138.8939;1.4048;196.2031;1.1418;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;14.99;141.1539;1.4276;199.3956;1.1603;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.32;144.2614;1.459;203.7852;1.1859;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.12;142.3781;1.44;201.1248;1.1704;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.15;142.6605;1.4429;201.5239;1.1727;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;15.77;148.4988;1.5019;209.7711;1.2207;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.21;162.0586;1.639;228.9258;1.3322;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;16.9;159.1395;1.6095;224.8022;1.3082;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.35;163.3769;1.6524;230.7881;1.343;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.4;163.8478;1.6571;231.4532;1.3469;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.11;161.117;1.6295;227.5956;1.3244;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.49;164.6952;1.6657;232.6504;1.3539;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.3;162.9061;1.6476;230.123;1.3392;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.42;164.0361;1.659;231.7192;1.3484;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.77;167.3319;1.6924;236.3749;1.3755;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.17;161.682;1.6352;228.3938;1.3291;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.1;161.0228;1.6286;227.4626;1.3237;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;17.35;163.3769;1.6524;230.7881;1.343;89654857;POWE3;25488
10.6696;25488;0.1062;0.0872;10.5;0.0;16.88;158.9512;1.6076;224.5362;1.3066;89654857;POWE3;25488
