assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
10.6602;25550;0.2806;1.8021;0.943;0.0;22.0;78.3917;23.3296;-298.3555;4.0129;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;22.05;78.5699;23.3827;-299.0336;4.022;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.96;78.2492;23.2872;-297.8131;4.0056;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.9;78.0354;23.2236;-296.9994;3.9947;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.7;77.3228;23.0115;-294.2871;3.9582;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.83;77.786;23.1494;-296.0501;3.9819;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.6;76.9664;22.9055;-292.9309;3.9399;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.4;76.2538;22.6934;-290.2186;3.9035;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.2;75.5411;22.4813;-287.5062;3.867;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.0;74.8285;22.2692;-284.7939;3.8305;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.14;75.3273;22.4177;-286.6925;3.856;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.5;76.6101;22.7994;-291.5747;3.9217;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.65;77.1446;22.9585;-293.609;3.9491;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.05;75.0066;22.3222;-285.472;3.8396;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;20.5;73.0469;21.739;-278.0131;3.7393;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;19.7;70.1962;20.8906;-267.1638;3.5934;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;20.79;74.0802;22.0465;-281.946;3.7922;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;20.57;73.2963;21.8132;-278.9624;3.7521;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;20.8;74.1158;22.0571;-282.0816;3.794;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.0;74.8285;22.2692;-284.7939;3.8305;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.4;76.2538;22.6934;-290.2186;3.9035;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.89;77.9998;23.213;-296.8638;3.9928;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.83;77.786;23.1494;-296.0501;3.9819;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.3;75.8975;22.5873;-288.8624;3.8852;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;22.21;79.14;23.5523;-301.2035;4.0512;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.94;78.178;23.266;-297.5418;4.002;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;21.5;76.6101;22.7994;-291.5747;3.9217;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;20.97;74.7216;22.2374;-284.3871;3.825;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;20.5;73.0469;21.739;-278.0131;3.7393;71496836;ORVR3;25550
10.6602;25550;0.2806;1.8021;0.943;0.0;19.85;70.7307;21.0497;-269.1981;3.6207;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.13;-91.5315;4.0563;-264.9006;3.8928;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.1;-91.4016;4.0505;-264.5245;3.8873;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;20.85;-90.3186;4.0025;-261.3903;3.8412;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;20.55;-89.0191;3.9449;-257.6293;3.7859;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;20.6;-89.2357;3.9545;-258.2561;3.7951;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.79;-94.3906;4.183;-273.1748;4.0144;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.4;-92.7011;4.1081;-268.2855;3.9425;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.6;-93.5675;4.1465;-270.7929;3.9794;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.58;-93.4809;4.1427;-270.5421;3.9757;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.2;-91.8348;4.0697;-265.7782;3.9057;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.3;-92.268;4.0889;-267.0318;3.9241;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.47;-93.0044;4.1216;-269.1631;3.9554;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.1;-91.4016;4.0505;-264.5245;3.8873;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.59;-93.5242;4.1446;-270.6675;3.9775;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.49;-93.091;4.1254;-269.4138;3.9591;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.49;-93.091;4.1254;-269.4138;3.9591;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;21.0;-90.9684;4.0313;-263.2708;3.8688;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;20.5;-88.8025;3.9353;-257.0025;3.7767;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;20.38;-88.2827;3.9123;-255.4981;3.7546;71496836;ORVR3;25550
15.605;25550;-0.2308;1.2717;5.2092;0.0;20.6;-89.2357;3.9545;-258.2561;3.7951;71496836;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;21.2;-91.8393;4.0699;-265.7914;3.9059;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;21.54;-93.3122;4.1352;-270.0541;3.9685;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;21.7;-94.0054;4.1659;-272.06;3.998;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;21.9;-94.8718;4.2043;-274.5675;4.0348;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;22.12;-95.8248;4.2465;-277.3257;4.0754;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;22.15;-95.9548;4.2523;-277.7018;4.0809;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;22.48;-97.3844;4.3157;-281.8392;4.1417;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;22.62;-97.9908;4.3425;-283.5944;4.1675;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;22.18;-96.0847;4.2581;-278.078;4.0864;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;23.19;-100.4601;4.452;-290.7407;4.2725;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;23.7;-102.6694;4.5499;-297.1347;4.3665;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;24.14;-104.5755;4.6343;-302.6511;4.4475;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;24.0;-103.9691;4.6075;-300.8959;4.4217;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;23.9;-103.5359;4.5883;-299.6422;4.4033;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;23.9;-103.5359;4.5883;-299.6422;4.4033;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;23.92;-103.6225;4.5921;-299.8929;4.407;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;24.3;-105.2687;4.6651;-304.6571;4.477;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;24.31;-105.312;4.667;-304.7825;4.4789;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;23.99;-103.9257;4.6055;-300.7705;4.4199;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;23.91;-103.5792;4.5902;-299.7675;4.4052;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;23.99;-103.9257;4.6055;-300.7705;4.4199;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;24.15;-104.6189;4.6363;-302.7765;4.4494;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.9;-116.532;5.1642;-337.2542;4.956;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.95;-116.7486;5.1738;-337.881;4.9653;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.78;-116.0121;5.1412;-335.7497;4.9339;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.71;-115.7089;5.1277;-334.8721;4.921;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.69;-115.6223;5.1239;-334.6213;4.9174;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.5;-114.7992;5.0874;-332.2392;4.8823;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.22;-113.5862;5.0337;-328.7288;4.8308;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.2;-113.4996;5.0298;-328.478;4.8271;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.5;-114.7992;5.0874;-332.2392;4.8823;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.65;-115.449;5.1162;-334.1198;4.91;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.15;-113.283;5.0202;-327.8512;4.8179;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;25.99;-112.5898;4.9895;-325.8452;4.7884;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.19;-113.4562;5.0279;-328.3527;4.8252;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.38;-114.2793;5.0644;-330.7348;4.8602;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;26.7;-115.6656;5.1258;-334.7467;4.9192;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;27.59;-119.5211;5.2967;-345.9049;5.0832;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;27.43;-118.828;5.266;-343.8989;5.0537;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;27.8;-120.4308;5.337;-348.5378;5.1219;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;28.88;-125.1094;5.5443;-362.0781;5.3208;71500390;ORVR3;25550
15.6042;25550;-0.2308;1.2716;5.2089;0.0;28.97;-125.4993;5.5616;-363.2064;5.3374;71500390;ORVR3;25550
14.6299;25550;-0.4963;1.1845;5.2658;0.0;29.48;-59.4006;5.5984;-118.9991;5.5333;71500390;ORVR3;25550
14.6299;25550;-0.4963;1.1845;5.2658;0.0;28.48;-57.3857;5.4085;-114.9625;5.3456;71500390;ORVR3;25550
14.6299;25550;-0.4963;1.1845;5.2658;0.0;29.0;-58.4335;5.5072;-117.0616;5.4432;71500390;ORVR3;25550
