assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.65;26.1377;4.759;129.3793;1.5792;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.63;26.1043;4.7529;129.214;1.5772;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.76;26.3215;4.7925;130.2887;1.5903;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.85;26.4718;4.8198;131.0327;1.5993;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.41;25.7369;4.686;127.3952;1.555;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.75;26.3048;4.7894;130.206;1.5893;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.89;26.5386;4.832;131.3634;1.6034;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.69;26.2045;4.7712;129.71;1.5832;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.35;25.6367;4.6678;126.8992;1.5489;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;16.55;27.6409;5.0327;136.8196;1.67;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.35;25.6367;4.6678;126.8992;1.5489;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.66;26.1544;4.7621;129.462;1.5802;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.52;25.9206;4.7195;128.3046;1.5661;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.39;25.7035;4.68;127.2299;1.5529;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.18;25.3528;4.6161;125.4938;1.5317;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.06;25.1524;4.5796;124.5017;1.5196;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;14.98;25.0187;4.5553;123.8404;1.5116;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;14.6;24.3841;4.4397;120.6989;1.4732;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;13.7;22.881;4.1661;113.2586;1.3824;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;13.98;23.3486;4.2512;115.5733;1.4107;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.06;25.1524;4.5796;124.5017;1.5196;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;15.23;25.4363;4.6313;125.9071;1.5368;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;14.89;24.8684;4.5279;123.0963;1.5025;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;14.38;24.0167;4.3728;118.8801;1.451;667514508;GGPS3;25712
3.3217;25712;0.5988;0.5972;3.2885;0.0;14.47;24.167;4.4002;119.6242;1.4601;667514508;GGPS3;25712
