assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.07;-105.2133;3.1962;541.3504;9.7276;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.99;-104.6548;3.1792;538.4766;9.6759;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.12;-105.5624;3.2068;543.1465;9.7598;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.26;-106.5398;3.2365;548.1757;9.8502;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.0;-104.7246;3.1814;538.8359;9.6824;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.8;-103.3283;3.1389;531.6514;9.5533;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.18;-98.9997;3.0074;509.3795;9.1531;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;13.33;-93.0653;2.8272;478.8455;8.6044;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.02;-97.8826;2.9735;503.6319;9.0498;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.41;-100.6054;3.0562;517.6416;9.3015;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.47;-101.0243;3.0689;519.797;9.3403;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.73;-102.8396;3.1241;529.1368;9.5081;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.85;-103.6774;3.1495;533.4475;9.5855;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.62;-102.0716;3.1008;525.1853;9.4371;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;13.56;-94.671;2.8759;487.1076;8.7529;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;13.45;-93.9031;2.8526;483.1561;8.6819;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;13.63;-95.1598;2.8908;489.6222;8.798;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.86;-103.7472;3.1517;533.8067;9.592;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.0;-104.7246;3.1814;538.8359;9.6824;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.64;-102.2112;3.105;525.9038;9.45;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.48;-101.0941;3.0711;520.1562;9.3467;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.63;-102.1414;3.1029;525.5446;9.4435;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.11;-105.4926;3.2047;542.7873;9.7534;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.2;-106.1209;3.2238;546.0203;9.8115;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.15;-105.7718;3.2132;544.2242;9.7792;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.89;-103.9566;3.158;534.8844;9.6114;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.7;-102.6301;3.1177;528.0591;9.4887;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.7;-102.6301;3.1177;528.0591;9.4887;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.0;-104.7246;3.1814;538.8359;9.6824;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;15.25;-106.47;3.2344;547.8165;9.8437;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.85;-103.6774;3.1495;533.4475;9.5855;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.9;-104.0264;3.1601;535.2436;9.6178;272758709;IFCM3;25747
7.2046;25747;-0.1432;-0.1684;4.715;0.0;14.41;-100.6054;3.0562;517.6416;9.3015;272758709;IFCM3;25747
7.0256;25747;-0.3759;-0.3727;4.5397;0.0;14.3;-38.0394;3.15;-19309.1561;7.1658;272758709;IFCM3;25747
7.0256;25747;-0.3759;-0.3727;4.5397;0.0;14.5;-38.5715;3.194;-19579.2143;7.266;272758709;IFCM3;25747
7.0256;25747;-0.3759;-0.3727;4.5397;0.0;14.19;-37.7468;3.1257;-19160.6242;7.1107;272758709;IFCM3;25747
7.0256;25747;-0.3759;-0.3727;4.5397;0.0;13.4;-35.6453;2.9517;-18093.8946;6.7148;272758709;IFCM3;25747
7.0256;25747;-0.3759;-0.3727;4.5397;0.0;12.2;-32.4532;2.6874;-16473.5458;6.1135;272758709;IFCM3;25747
7.0256;25747;-0.3759;-0.3727;4.5397;0.0;12.19;-32.4266;2.6852;-16460.0429;6.1085;272758709;IFCM3;25747
7.0256;25747;-0.3759;-0.3727;4.5397;0.0;11.13;-29.6069;2.4517;-15028.7348;5.5773;272758709;IFCM3;25747
