assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
7.7219;25755;0.0587;"";0.8376;0.319;6.34;107.9566;7.569;4.0318;19.8732;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;6.34;107.9566;7.569;4.0318;19.8732;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;12.17;207.229;14.5292;7.7393;38.1478;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;12.17;207.229;14.5292;7.7393;38.1478;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;8.79;149.6749;10.494;5.5899;27.5529;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;8.79;149.6749;10.494;5.5899;27.5529;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;5.06;86.161;6.0409;3.2178;15.8609;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;5.06;86.161;6.0409;3.2178;15.8609;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.8;81.7337;5.7305;3.0525;15.046;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.8;81.7337;5.7305;3.0525;15.046;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;8.15;138.777;9.7299;5.1829;25.5468;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;8.15;138.777;9.7299;5.1829;25.5468;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.78;132.4767;9.2882;4.9476;24.387;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.78;132.4767;9.2882;4.9476;24.387;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.69;79.8607;5.5992;2.9825;14.7012;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.69;79.8607;5.5992;2.9825;14.7012;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.37;125.4953;8.7987;4.6868;23.1018;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.37;125.4953;8.7987;4.6868;23.1018;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.62;78.6687;5.5156;2.938;14.4817;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.62;78.6687;5.5156;2.938;14.4817;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.63;78.839;5.5275;2.9444;14.5131;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.63;78.839;5.5275;2.9444;14.5131;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.48;127.3684;8.93;4.7568;23.4466;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.48;127.3684;8.93;4.7568;23.4466;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.29;124.1331;8.7032;4.636;22.851;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.29;124.1331;8.7032;4.636;22.851;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.63;78.839;5.5275;2.9444;14.5131;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.63;78.839;5.5275;2.9444;14.5131;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.14;121.5789;8.5241;4.5406;22.3809;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.14;121.5789;8.5241;4.5406;22.3809;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.53;77.1362;5.4081;2.8808;14.1996;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.53;77.1362;5.4081;2.8808;14.1996;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.46;75.9442;5.3246;2.8363;13.9802;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.46;75.9442;5.3246;2.8363;13.9802;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.03;119.7058;8.3928;4.4706;22.0361;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;7.03;119.7058;8.3928;4.4706;22.0361;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.51;76.7956;5.3843;2.8681;14.1369;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.51;76.7956;5.3843;2.8681;14.1369;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;6.94;118.1733;8.2853;4.4134;21.7539;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;6.94;118.1733;8.2853;4.4134;21.7539;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;6.83;116.3003;8.154;4.3434;21.4091;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;6.83;116.3003;8.154;4.3434;21.4091;704204078;MODL3;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.49;76.4551;5.3604;2.8554;14.0742;704204078;MODL4;25755
7.7219;25755;0.0587;"";0.8376;0.319;4.49;76.4551;5.3604;2.8554;14.0742;704204078;MODL4;25755
