assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";25780;"";"";"";"";15.51;"";"";"";"";"";RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.89;63.7787;4.6776;23.4917;20.4325;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;16.49;66.187;4.8542;24.3787;21.204;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.77;63.2971;4.6423;23.3143;20.2782;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;16.04;64.3808;4.7217;23.7135;20.6254;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.83;63.5379;4.6599;23.403;20.3554;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.64;62.7753;4.604;23.1221;20.1111;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.89;63.7787;4.6776;23.4917;20.4325;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;16.23;65.1434;4.7777;23.9944;20.8697;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.81;63.4576;4.654;23.3734;20.3297;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.5;62.2133;4.5628;22.9151;19.931;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.64;62.7753;4.604;23.1221;20.1111;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.6;62.6147;4.5922;23.063;20.0596;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.55;62.414;4.5775;22.989;19.9953;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.5;62.2133;4.5628;22.9151;19.931;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.21;61.0493;4.4774;22.4864;19.5581;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.41;61.8521;4.5363;22.7821;19.8153;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.74;63.1766;4.6334;23.2699;20.2396;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;15.99;64.1801;4.707;23.6395;20.5611;237823533;RECV3;25780
4.097;25780;0.2491;0.3031;3.3971;0.7777;16.18;64.9427;4.763;23.9204;20.8054;237823533;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;16.17;67.7681;4.9702;24.9611;21.7106;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;16.68;69.9055;5.1269;25.7484;22.3953;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;16.31;68.3548;5.0132;25.1772;21.8985;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;16.05;67.2651;4.9333;24.7759;21.5495;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;16.06;67.3071;4.9364;24.7913;21.5629;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;16.6;69.5702;5.1023;25.6249;22.2879;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;16.59;69.5283;5.0993;25.6094;22.2745;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;17.18;72.0009;5.2806;26.5202;23.0666;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;17.89;74.9765;5.4988;27.6162;24.0199;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;18.41;77.1558;5.6587;28.4189;24.7181;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;18.58;77.8683;5.7109;28.6813;24.9464;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;18.38;77.0301;5.6495;28.3726;24.6778;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;19.16;80.2991;5.8892;29.5767;25.7251;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;18.82;78.8741;5.7847;29.0518;25.2686;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;18.81;78.8322;5.7816;29.0364;25.2552;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;19.73;82.6879;6.0644;30.4566;26.4904;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;19.46;81.5564;5.9814;30.0398;26.1279;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;19.17;80.341;5.8923;29.5921;25.7385;248323629;RECV3;25780
3.9238;25780;0.2386;0.2903;3.2534;0.7448;19.51;81.7659;5.9968;30.117;26.195;248323629;RECV3;25780
