assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.2;-29.9683;-4.5161;-394.4991;15.8212;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.18;-29.9229;-4.5093;-393.9013;15.7972;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.32;-30.2407;-4.5572;-398.0854;15.965;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.14;-29.832;-4.4956;-392.7059;15.7493;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.15;-29.8547;-4.499;-393.0048;15.7612;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.1;-29.7412;-4.4819;-391.5104;15.7013;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;12.82;-29.1055;-4.3861;-383.1423;15.3657;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;12.83;-29.1282;-4.3895;-383.4411;15.3777;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;12.75;-28.9466;-4.3622;-381.0502;15.2818;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;12.75;-28.9466;-4.3622;-381.0502;15.2818;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;12.91;-29.3099;-4.4169;-385.832;15.4736;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.04;-29.605;-4.4614;-389.7173;15.6294;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.12;-29.7866;-4.4887;-392.1082;15.7253;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.15;-29.8547;-4.499;-393.0048;15.7612;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.2;-29.9683;-4.5161;-394.4991;15.8212;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.6;-30.8764;-4.653;-406.4536;16.3006;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.5;-30.6494;-4.6188;-403.465;16.1807;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.26;-30.1045;-4.5366;-396.2922;15.8931;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.8;-31.3305;-4.7214;-412.4308;16.5403;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.6;-30.8764;-4.653;-406.4536;16.3006;133113550;DOTZ3;25836
0.0341;25836;-0.4405;-0.2676;-2.9229;0.0;13.77;-31.2623;-4.7111;-411.5343;16.5044;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;13.92;-30.4359;-49.4408;-120.5478;16.3194;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;14.16;-30.9607;-50.2932;-122.6262;16.6008;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;14.0;-30.6109;-49.7249;-121.2406;16.4132;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;13.95;-30.5015;-49.5473;-120.8076;16.3546;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;13.95;-30.5015;-49.5473;-120.8076;16.3546;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;14.0;-30.6109;-49.7249;-121.2406;16.4132;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;13.81;-30.1954;-49.0501;-119.5952;16.1905;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;16.0;-34.9839;-56.8285;-138.5607;18.758;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;17.15;-37.4983;-60.913;-148.5198;20.1062;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;16.69;-36.4925;-59.2792;-144.5361;19.5669;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;16.5;-36.0771;-58.6043;-142.8907;19.3442;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;16.4;-35.8584;-58.2492;-142.0247;19.2269;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;16.69;-36.4925;-59.2792;-144.5361;19.5669;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;17.0;-37.1703;-60.3802;-147.2208;19.9303;133113550;DOTZ3;25836
1.8229;25836;-0.4574;-0.3298;-0.2815;0.0;16.96;-37.0829;-60.2382;-146.8744;19.8834;133113550;DOTZ3;25836
