assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
0.7455;25879;0.0634;0.0577;0.6473;0.0;8.04;126.8544;12.4206;-623.1827;6.0194;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;8.0;126.2233;12.3588;-620.0823;5.9895;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;8.0;126.2233;12.3588;-620.0823;5.9895;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;8.08;127.4855;12.4824;-626.2831;6.0494;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;8.15;128.59;12.5905;-631.7089;6.1018;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;8.1;127.8011;12.5133;-627.8333;6.0643;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.65;120.701;11.8181;-592.9537;5.7274;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.54;118.9654;11.6482;-584.4276;5.6451;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.5;118.3343;11.5864;-581.3272;5.6151;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.3;115.1787;11.2774;-565.8251;5.4654;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.5;118.3343;11.5864;-581.3272;5.6151;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.56;119.281;11.6791;-585.9778;5.6601;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.53;118.8077;11.6327;-583.6525;5.6376;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.6;119.9121;11.7408;-589.0782;5.69;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.45;117.5454;11.5091;-577.4517;5.5777;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.79;122.9099;12.0344;-603.8052;5.8322;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.98;125.9077;12.3279;-618.5321;5.9745;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.98;125.9077;12.3279;-618.5321;5.9745;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;8.1;127.8011;12.5133;-627.8333;6.0643;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;8.12;128.1166;12.5442;-629.3835;6.0793;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.88;124.3299;12.1734;-610.7811;5.8996;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.88;124.3299;12.1734;-610.7811;5.8996;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.93;125.1188;12.2506;-614.6566;5.9371;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.74;122.121;11.9571;-599.9296;5.7948;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.7;121.4899;11.8953;-596.8292;5.7649;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.69;121.3321;11.8799;-596.0541;5.7574;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.9;124.6455;12.2043;-612.3313;5.9146;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.8;123.0677;12.0498;-604.5803;5.8397;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.65;120.701;11.8181;-592.9537;5.7274;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.65;120.701;11.8181;-592.9537;5.7274;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;7.3;115.1787;11.2774;-565.8251;5.4654;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;6.92;109.1831;10.6904;-536.3712;5.1809;643722950;KRSA3;25879
0.7455;25879;0.0634;0.0577;0.6473;0.0;6.9;108.8676;10.6595;-534.821;5.1659;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.1;323.4102;3.7011;-596.5065;4.4399;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.1;323.4102;3.7011;-596.5065;4.4399;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.85;312.0225;3.5708;-575.5028;4.2836;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.75;307.4674;3.5186;-567.1013;4.221;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.75;307.4674;3.5186;-567.1013;4.221;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.79;309.2895;3.5395;-570.4619;4.246;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.62;301.5458;3.4509;-556.1793;4.1397;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.45;339.353;3.8835;-625.9118;4.6588;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.25;330.2428;3.7793;-609.1088;4.5337;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.39;336.6199;3.8523;-620.8709;4.6212;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.5;341.6305;3.9096;-630.1125;4.69;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.2;327.9653;3.7532;-604.908;4.5024;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.0;318.8551;3.649;-588.105;4.3774;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;7.11;323.8657;3.7063;-597.3467;4.4461;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.87;312.9335;3.5812;-577.1831;4.2961;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.5;296.0798;3.3883;-546.0975;4.0647;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.84;311.567;3.5656;-574.6626;4.2773;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.5;296.0798;3.3883;-546.0975;4.0647;643722950;KRSA3;25879
2.018;25879;0.022;0.0193;1.9184;0.0;6.5;296.0798;3.3883;-546.0975;4.0647;643722950;KRSA3;25879
