assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";25917;"";"";"";"";7.11;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.98;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.95;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.98;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.75;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.84;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.89;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.9;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.7;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.69;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.81;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.86;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";7.04;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";7.12;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";7.21;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.98;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";7.06;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.99;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.98;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.95;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.68;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.88;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.81;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.42;"";"";"";"";"";RAIZ4;25917
"";25917;"";"";"";"";6.3;"";"";"";"";"";RAIZ4;25917
