assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
19.4928;26026;0.2963;0.5021;10.1263;2.7847;15.14;51.0992;1.4951;39.6514;5.4368;87034036;DESK3;26026
19.4928;26026;0.2963;0.5021;10.1263;2.7847;15.84;53.4618;1.5642;41.4847;5.6882;87034036;DESK3;26026
19.4928;26026;0.2963;0.5021;10.1263;2.7847;16.2;54.6768;1.5998;42.4275;5.8175;87034036;DESK3;26026
19.4928;26026;0.2963;0.5021;10.1263;2.7847;16.02;54.0693;1.582;41.9561;5.7529;87034036;DESK3;26026
19.4928;26026;0.2963;0.5021;10.1263;2.7847;17.51;59.0982;1.7292;45.8584;6.2879;87034036;DESK3;26026
19.4928;26026;0.2963;0.5021;10.1263;2.7847;17.48;58.997;1.7262;45.7798;6.2771;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;17.41;82.0214;1.7004;-129.4764;5.7629;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;17.43;82.1156;1.7024;-129.6252;5.7695;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;17.97;84.6596;1.7551;-133.6411;5.9482;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;17.7;83.3876;1.7288;-131.6331;5.8588;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;16.29;76.7449;1.591;-121.1471;5.3921;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;15.91;74.9546;1.5539;-118.3211;5.2663;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;15.31;72.1279;1.4953;-113.8589;5.0677;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;14.74;69.4426;1.4397;-109.6199;4.8791;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;14.69;69.207;1.4348;-109.2481;4.8625;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;14.66;69.0657;1.4318;-109.0249;4.8526;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;14.72;69.3483;1.4377;-109.4712;4.8724;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;14.52;68.4061;1.4182;-107.9838;4.8062;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;15.4;72.5519;1.5041;-114.5283;5.0975;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;14.75;69.4897;1.4406;-109.6943;4.8824;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;14.14;66.6159;1.381;-105.1578;4.6805;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;13.9;65.4852;1.3576;-103.3729;4.601;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;13.71;64.5901;1.3391;-101.9599;4.5381;87034036;DESK3;26026
22.3458;26026;0.2123;0.6198;10.2386;3.0211;13.08;61.622;1.2775;-97.2746;4.3296;87034036;DESK3;26026
