assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
6.4576;26034;0.9227;0.8403;2.2308;5.1675;12.65;13.7099;5.6706;-17.0748;2.448;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;12.68;13.7424;5.6841;-17.1153;2.4538;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;12.41;13.4498;5.5631;-16.7508;2.4015;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;11.92;12.9187;5.3434;-16.0895;2.3067;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;11.24;12.1818;5.0386;-15.1716;2.1751;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;11.19;12.1276;5.0162;-15.1041;2.1654;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.8;11.7049;4.8413;-14.5777;2.09;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.94;11.8566;4.9041;-14.7667;2.1171;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.73;11.629;4.81;-14.4832;2.0764;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.45;11.3256;4.6844;-14.1053;2.0222;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.36;11.228;4.6441;-13.9838;2.0048;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.85;11.7591;4.8637;-14.6452;2.0996;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.45;11.3256;4.6844;-14.1053;2.0222;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.41;11.2822;4.6665;-14.0513;2.0145;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.27;11.1305;4.6038;-13.8623;1.9874;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.21;11.0655;4.5769;-13.7813;1.9758;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;10.26;11.1197;4.5993;-13.8488;1.9855;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;9.57;10.3718;4.29;-12.9175;1.8519;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;8.52;9.2339;3.8193;-11.5002;1.6488;820539228;MLAS3;26034
6.4576;26034;0.9227;0.8403;2.2308;5.1675;8.3;8.9954;3.7207;-11.2032;1.6062;820539228;MLAS3;26034
