assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.61;5.8599;0.8806;-2.6899;0.9816;1866787003;GETT3;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.61;5.8599;0.8806;-2.6899;0.9816;1866787003;GETT3;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.64;5.9691;0.897;-2.74;0.9999;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.64;5.9691;0.897;-2.74;0.9999;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.64;5.9691;0.897;-2.74;0.9999;1866787003;GETT3;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.64;5.9691;0.897;-2.74;0.9999;1866787003;GETT3;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.65;6.0055;0.9024;-2.7567;1.006;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.65;6.0055;0.9024;-2.7567;1.006;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.64;5.9691;0.897;-2.74;0.9999;1866787003;GETT3;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.64;5.9691;0.897;-2.74;0.9999;1866787003;GETT3;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.62;5.8963;0.886;-2.7066;0.9877;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.62;5.8963;0.886;-2.7066;0.9877;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.64;5.9691;0.897;-2.74;0.9999;1866787003;GETT3;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.64;5.9691;0.897;-2.74;0.9999;1866787003;GETT3;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.67;6.0782;0.9134;-2.7901;1.0182;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.67;6.0782;0.9134;-2.7901;1.0182;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.68;6.1146;0.9189;-2.8068;1.0243;1866787003;GETT4;26140
30.2368;26140;0.2748;0.3419;1.8284;1.6402;1.68;6.1146;0.9189;-2.8068;1.0243;1866787003;GETT4;26140
