assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
2.0119;3190;0.1701;0.2045;1.6193;0.0;5.54;32.5774;3.4213;1425.2837;1.1292;2059200554;REDE3;3190
2.0119;3190;0.1701;0.2045;1.6193;0.0;5.54;32.5774;3.4213;1425.2837;1.1292;2059200554;REDE3;3190
2.0119;3190;0.1701;0.2045;1.6193;0.0;5.55;32.6362;3.4275;1427.8565;1.1313;2059200554;REDE3;3190
2.0119;3190;0.1701;0.2045;1.6193;0.0;5.53;32.5186;3.4151;1422.711;1.1272;2059200554;REDE3;3190
2.0119;3190;0.1701;0.2045;1.6193;0.0;5.44;31.9893;3.3595;1399.5566;1.1088;2059200554;REDE3;3190
2.0119;3190;0.1701;0.2045;1.6193;0.0;5.53;32.5186;3.4151;1422.711;1.1272;2059200554;REDE3;3190
2.0119;3190;0.1701;0.2045;1.6193;0.0;5.54;32.5774;3.4213;1425.2837;1.1292;2059200554;REDE3;3190
2.0119;3190;0.1701;0.2045;1.6193;0.0;5.54;32.5774;3.4213;1425.2837;1.1292;2059200554;REDE3;3190
1.998;3190;0.1689;0.203;1.608;0.0;5.56;32.9237;3.4577;1440.4374;1.1412;2073608139;REDE3;3190
1.998;3190;0.1689;0.203;1.608;0.0;5.59;33.1014;3.4763;1448.2096;1.1474;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.59;29.0103;3.5576;21386.4751;1.1511;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.61;29.1141;3.5704;21462.992;1.1553;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.61;29.1141;3.5704;21462.992;1.1553;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.6;29.0622;3.564;21424.7335;1.1532;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.62;29.166;3.5767;21501.2504;1.1573;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.63;29.2179;3.5831;21539.5089;1.1594;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.5;28.5432;3.5003;21042.149;1.1326;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.43;28.1799;3.4558;20774.3398;1.1182;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.43;28.1799;3.4558;20774.3398;1.1182;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.44;28.2318;3.4622;20812.5983;1.1203;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.52;28.647;3.5131;21118.6659;1.1367;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.62;29.166;3.5767;21501.2504;1.1573;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.65;29.3217;3.5958;21616.0258;1.1635;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.65;29.3217;3.5958;21616.0258;1.1635;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.65;29.3217;3.5958;21616.0258;1.1635;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.65;29.3217;3.5958;21616.0258;1.1635;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.65;29.3217;3.5958;21616.0258;1.1635;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.66;29.3736;3.6022;21654.2843;1.1656;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.66;29.3736;3.6022;21654.2843;1.1656;2073608139;REDE3;3190
2.0109;3190;0.1927;0.2026;1.5713;0.0;5.78;29.9963;3.6785;22113.3857;1.1903;2073608139;REDE3;3190
