assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.67;-1.6001;0.292;7.5923;5.878;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.67;-1.6001;0.292;7.5923;5.878;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.65;-2.2785;0.4157;10.8113;8.3702;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.65;-2.2785;0.4157;10.8113;8.3702;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.56;-1.5624;0.2851;7.4135;5.7395;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.56;-1.5624;0.2851;7.4135;5.7395;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.56;-2.2477;0.4101;10.665;8.2569;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.56;-2.2477;0.4101;10.665;8.2569;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.93;-2.3745;0.4333;11.2665;8.7226;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.93;-2.3745;0.4333;11.2665;8.7226;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.8;-1.6447;0.3001;7.8037;6.0416;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.8;-1.6447;0.3001;7.8037;6.0416;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.74;-1.6241;0.2963;7.7061;5.9661;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.74;-1.6241;0.2963;7.7061;5.9661;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.87;-2.3539;0.4295;11.169;8.6471;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.87;-2.3539;0.4295;11.169;8.6471;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.77;-1.6344;0.2982;7.7549;6.0039;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.77;-1.6344;0.2982;7.7549;6.0039;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.86;-2.3505;0.4289;11.1527;8.6345;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.86;-2.3505;0.4289;11.1527;8.6345;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.74;-1.6241;0.2963;7.7061;5.9661;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.74;-1.6241;0.2963;7.7061;5.9661;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.86;-2.3505;0.4289;11.1527;8.6345;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.86;-2.3505;0.4289;11.1527;8.6345;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.82;-2.3368;0.4264;11.0877;8.5841;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;6.82;-2.3368;0.4264;11.0877;8.5841;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.69;-1.607;0.2932;7.6248;5.9032;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.69;-1.607;0.2932;7.6248;5.9032;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;7.14;-2.4464;0.4464;11.6079;8.9869;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;7.14;-2.4464;0.4464;11.6079;8.9869;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.89;-1.6755;0.3057;7.95;6.1549;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.89;-1.6755;0.3057;7.95;6.1549;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.89;-1.6755;0.3057;7.95;6.1549;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;4.89;-1.6755;0.3057;7.95;6.1549;1719473076;GGBR3;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;7.12;-2.4396;0.4451;11.5754;8.9617;1719473076;GGBR4;3980
21.1268;3980;-2.9185;-2.588;15.9954;0.7945;7.12;-2.4396;0.4451;11.5754;8.9617;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;7.0;-4.0342;0.4364;23.05;9.3443;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;7.0;-4.0342;0.4364;23.05;9.3443;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;4.92;-2.8355;0.3067;16.2008;6.5677;1719473076;GGBR3;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;4.92;-2.8355;0.3067;16.2008;6.5677;1719473076;GGBR3;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;7.11;-4.0976;0.4432;23.4122;9.4911;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;7.11;-4.0976;0.4432;23.4122;9.4911;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;4.96;-2.8585;0.3092;16.3326;6.6211;1719473076;GGBR3;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;4.96;-2.8585;0.3092;16.3326;6.6211;1719473076;GGBR3;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;6.99;-4.0285;0.4358;23.0171;9.3309;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;6.99;-4.0285;0.4358;23.0171;9.3309;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;4.84;-2.7894;0.3017;15.9374;6.4609;1719473076;GGBR3;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;4.84;-2.7894;0.3017;15.9374;6.4609;1719473076;GGBR3;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;4.95;-2.8528;0.3086;16.2996;6.6077;1719473076;GGBR3;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;4.95;-2.8528;0.3086;16.2996;6.6077;1719473076;GGBR3;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;7.17;-4.1322;0.447;23.6098;9.5712;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;7.17;-4.1322;0.447;23.6098;9.5712;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;7.35;-4.2359;0.4582;24.2025;9.8115;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;7.35;-4.2359;0.4582;24.2025;9.8115;1719473076;GGBR4;3980
21.2193;3980;-1.7352;-1.9976;16.0411;0.7491;5.05;-2.9104;0.3148;16.6289;6.7412;1719473076;GGBR3;3980
