assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.33;4.1011;2.1092;1.6946;0.34;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.33;4.1011;2.1092;1.6946;0.34;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.24;3.0069;1.5465;1.2425;0.2493;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.24;3.0069;1.5465;1.2425;0.2493;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.29;4.0904;2.1037;1.6902;0.3391;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.29;4.0904;2.1037;1.6902;0.3391;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.12;4.0449;2.0803;1.6714;0.3354;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.12;4.0449;2.0803;1.6714;0.3354;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.21;2.9989;1.5424;1.2392;0.2486;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.21;2.9989;1.5424;1.2392;0.2486;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.08;4.0342;2.0748;1.667;0.3345;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.5;4.1465;2.1326;1.7134;0.3438;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.5;4.1465;2.1326;1.7134;0.3438;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.98;3.2049;1.6483;1.3243;0.2657;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.98;3.2049;1.6483;1.3243;0.2657;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.38;3.0444;1.5658;1.258;0.2524;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.38;3.0444;1.5658;1.258;0.2524;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;14.98;4.0074;2.0611;1.6559;0.3322;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;14.98;4.0074;2.0611;1.6559;0.3322;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.76;3.146;1.618;1.3;0.2608;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.76;3.146;1.618;1.3;0.2608;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;16.27;4.3525;2.2386;1.7985;0.3609;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;16.27;4.3525;2.2386;1.7985;0.3609;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.55;3.0898;1.5892;1.2768;0.2562;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;11.55;3.0898;1.5892;1.2768;0.2562;797323421;BRKM3;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.77;4.2188;2.1698;1.7433;0.3498;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.77;4.2188;2.1698;1.7433;0.3498;797323421;BRKM5;4820
49.8763;4820;3.7381;9.1551;7.268;45.0871;15.88;4.2482;2.1849;1.7554;0.3522;797323421;BRKM5;4820
