assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
999.394;4863;366.8672;393.4462;359.5948;622.5272;311.0;0.8477;0.8649;0.6691;0.4996;23101;CORR4;4863
1004.4154;4863;265.3998;277.8668;379.2477;458.6814;210.01;0.7913;0.5538;0.5547;0.4579;23101;CORR4;4863
924.1158;4863;-80.4727;-73.3302;286.0049;243.2795;115.77;-1.4386;0.4048;0.3839;0.4759;23101;CORR4;4863
898.6191;4863;-118.6529;-120.2112;239.7299;117.1378;80.0;-0.6742;0.3337;3.2141;0.683;23101;CORR4;4863
869.7026;4863;-88.6542;-89.6931;210.5537;62.4215;80.0;-0.9024;0.38;0.6075;1.2816;23101;CORR4;4863
823.7306;4863;-34.3275;-43.3315;152.2445;211.809;145.0;-4.224;0.9524;81.6987;0.6846;23101;CORR4;4863
779.0139;4863;-75.2348;-77.6157;115.6227;217.1335;109.99;-1.462;0.9513;-6.1374;0.5066;23101;CORR4;4863
779.0139;4863;-75.2348;-77.6157;115.6227;217.1335;80.01;-1.0635;0.692;-4.4645;0.3685;23101;CORR4;4863
779.0139;4863;-75.2348;-77.6157;115.6227;217.1335;97.99;-1.3025;0.8475;-5.4678;0.4513;23101;CORR4;4863
538.1585;4863;-241.548;-240.9852;41.167;44.8465;89.99;-0.3726;2.186;-1.6578;2.0066;23101;CORR4;4863
