assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.35;9.2934;1.2246;-1768.5811;0.3487;330385999;RADL3;5258
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.35;9.2934;1.2246;-1768.5811;0.3487;330385999;RADL3;5258
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.34;9.2538;1.2193;-1761.0552;0.3472;330385999;RADL3;5258
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.18;8.6211;1.136;-1640.6412;0.3235;330385999;RADL3;5258
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.29;9.0561;1.1933;-1723.4258;0.3398;330385999;RADL3;5258
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.36;9.3329;1.2298;-1776.107;0.3502;330385999;RADL3;5258
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.36;9.3329;1.2298;-1776.107;0.3502;330385999;RADL3;5258
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.34;9.2538;1.2193;-1761.0552;0.3472;330385999;RADL3;5258
3.0605;5258;0.2529;0.301;1.9191;6.7395;2.36;9.3329;1.2298;-1776.107;0.3502;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.4;11.5425;0.3602;41.863;0.342;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.43;11.6868;0.3647;42.3863;0.3462;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.43;11.6868;0.3647;42.3863;0.3462;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.42;11.6387;0.3632;42.2118;0.3448;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.41;11.5906;0.3617;42.0374;0.3434;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.42;11.6387;0.3632;42.2118;0.3448;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.4;11.5425;0.3602;41.863;0.342;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.4;11.5425;0.3602;41.863;0.342;330385999;RADL3;5258
7.8594;5258;0.2079;0.262;6.6624;7.0184;2.38;11.4464;0.3572;41.5141;0.3391;330385999;RADL3;5258
