assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.04;3.6271;0.704;63.618;0.4494;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.14;3.7168;0.7215;65.1927;0.4605;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.1;3.6809;0.7145;64.5628;0.456;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.26;3.8246;0.7424;67.0823;0.4738;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.25;3.8156;0.7406;66.9248;0.4727;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.25;3.8156;0.7406;66.9248;0.4727;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.29;3.8515;0.7476;67.5547;0.4772;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.29;3.8515;0.7476;67.5547;0.4772;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.32;3.8784;0.7528;68.0271;0.4805;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.37;3.9233;0.7615;68.8145;0.4861;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.31;3.8695;0.7511;67.8697;0.4794;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.32;3.8784;0.7528;68.0271;0.4805;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.35;3.9054;0.7581;68.4995;0.4839;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.27;3.8336;0.7441;67.2398;0.475;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.28;3.8425;0.7459;67.3972;0.4761;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.28;3.8425;0.7459;67.3972;0.4761;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.27;3.8336;0.7441;67.2398;0.475;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.3;3.8605;0.7493;67.7122;0.4783;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.31;3.8695;0.7511;67.8697;0.4794;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.32;3.8784;0.7528;68.0271;0.4805;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.34;3.8964;0.7563;68.3421;0.4827;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.4;3.9503;0.7668;69.2869;0.4894;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.38;3.9323;0.7633;68.972;0.4872;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.41;3.9592;0.7685;69.4444;0.4905;807176542;WEGE3;5410
5.8862;5410;1.1138;1.0246;5.7384;0.0;4.4;3.9503;0.7668;69.2869;0.4894;807176542;WEGE3;5410
6.0243;5410;1.1508;1.0578;5.9389;0.0;4.36;3.7887;0.7341;53.5856;0.4659;807176542;WEGE3;5410
6.0243;5410;1.1508;1.0578;5.9389;0.0;4.36;3.7887;0.7341;53.5856;0.4659;807176542;WEGE3;5410
6.0243;5410;1.1508;1.0578;5.9389;0.0;4.37;3.7974;0.7358;53.7085;0.4669;807176542;WEGE3;5410
6.0243;5410;1.1508;1.0578;5.9389;0.0;4.39;3.8148;0.7392;53.9543;0.4691;807176542;WEGE3;5410
6.0243;5410;1.1508;1.0578;5.9389;0.0;4.33;3.7627;0.7291;53.2169;0.4627;807176542;WEGE3;5410
6.0243;5410;1.1508;1.0578;5.9389;0.0;4.37;3.7974;0.7358;53.7085;0.4669;807176542;WEGE3;5410
6.0243;5410;1.1508;1.0578;5.9389;0.0;4.35;3.7801;0.7325;53.4627;0.4648;807176542;WEGE3;5410
