assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.92;20.8798;0.9165;10.7999;0.8925;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.82;20.7182;0.9094;10.7163;0.8856;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.61;20.3788;0.8945;10.5407;0.8711;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.59;20.3465;0.8931;10.524;0.8697;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.61;20.3788;0.8945;10.5407;0.8711;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.43;20.0879;0.8818;10.3903;0.8587;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.45;20.1202;0.8832;10.407;0.8601;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.65;20.4435;0.8974;10.5742;0.8739;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.33;19.9263;0.8747;10.3067;0.8518;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.41;20.0556;0.8804;10.3736;0.8573;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.33;19.9263;0.8747;10.3067;0.8518;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.25;19.797;0.869;10.2398;0.8462;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.45;20.1202;0.8832;10.407;0.8601;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.29;19.8617;0.8718;10.2733;0.849;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.0;19.393;0.8513;10.0308;0.829;144174106;TUPY3;6343
32.2172;6343;0.6188;1.2561;14.0967;14.4757;12.21;19.7324;0.8662;10.2064;0.8435;144174106;TUPY3;6343
