assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
1.2226;6629;-0.265;0.186;-18.6908;0.4859;12.0;-45.2842;-0.642;"";24.6983;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;12.0;-45.2842;-0.642;"";24.6983;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;11.7;-44.1521;-0.626;"";24.0808;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;12.0;-45.2842;-0.642;"";24.6983;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;12.0;-45.2842;-0.642;"";24.6983;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;13.2;-49.8126;-0.7062;"";27.1681;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;12.6;-47.5484;-0.6741;"";25.9332;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;12.6;-47.5484;-0.6741;"";25.9332;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;13.8;-52.0768;-0.7383;"";28.403;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;13.8;-52.0768;-0.7383;"";28.403;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;15.3;-57.7374;-0.8186;"";31.4903;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;14.7;-55.4731;-0.7865;"";30.2554;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;15.3;-57.7374;-0.8186;"";31.4903;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;14.7;-55.4731;-0.7865;"";30.2554;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;13.8;-52.0768;-0.7383;"";28.403;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;13.2;-49.8126;-0.7062;"";27.1681;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;14.4;-54.341;-0.7704;"";29.6379;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;13.8;-52.0768;-0.7383;"";28.403;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;14.1;-53.2089;-0.7544;"";29.0205;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;14.4;-54.341;-0.7704;"";29.6379;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;14.1;-53.2089;-0.7544;"";29.0205;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;14.4;-54.341;-0.7704;"";29.6379;15298513;HETA4;6629
1.2226;6629;-0.265;0.186;-18.6908;0.4859;13.5;-50.9447;-0.7223;"";27.7855;15298513;HETA4;6629
