assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;30.1;-6988.4795;-764.3406;-6047.0641;94739.3674;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;30.4;-7058.1321;-771.9586;-6107.3339;95683.6136;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;31.7;-7359.9602;-804.97;-6368.5028;99775.3471;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;34.0;-7893.9636;-863.3747;-6830.5708;107014.5678;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;43.9;-10192.5;-1114.7691;-8819.4723;138174.692;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;85.0;-19734.9089;-2158.4368;-17076.4269;267536.4196;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;94.0;-21824.4875;-2386.9772;-18884.5192;295863.8052;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;80.1;-18597.2495;-2034.0093;-16092.0212;252113.7319;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;81.6;-18945.5126;-2072.0993;-16393.3699;256834.9628;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;80.4;-18666.9021;-2041.6273;-16152.2909;253057.9781;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;109.9;-25516.0764;-2790.7318;-22078.8155;345908.8531;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;114.0;-26467.9955;-2894.8446;-22902.502;358813.551;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;106.5;-24726.68;-2704.3943;-21395.7585;335207.3963;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;104.2;-24192.6766;-2645.9896;-20933.6904;327968.1755;12504967;IGBR3;6815
0.0267;6815;-0.0043;0.0019;-0.0394;3.0E-4;89.0;-20663.6105;-2260.0103;-17880.0235;280126.3687;12504967;IGBR3;6815
