assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.46;-1.4762;0.2236;-21.1591;0.0569;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.46;-1.4762;0.2236;-21.1591;0.0594;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.57;-1.5422;0.2336;-22.1052;0.0569;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.57;-1.5422;0.2336;-22.1052;0.0594;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.67;-1.6022;0.2427;-22.9654;0.0617;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.67;-1.6022;0.2427;-22.9654;0.0587;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.54;-1.5242;0.2309;-21.8472;0.0617;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.54;-1.5242;0.2309;-21.8472;0.0587;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.75;-1.6502;0.2499;-23.6535;0.0613;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.75;-1.6502;0.2499;-23.6535;0.0636;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.65;-1.5902;0.2409;-22.7933;0.0613;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.65;-1.5902;0.2409;-22.7933;0.0636;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.76;-1.6562;0.2509;-23.7395;0.0638;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.76;-1.6562;0.2509;-23.7395;0.0608;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.63;-1.5782;0.239;-22.6213;0.0638;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.63;-1.5782;0.239;-22.6213;0.0608;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.71;-1.6262;0.2463;-23.3094;0.0601;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.71;-1.6262;0.2463;-23.3094;0.0626;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.6;-1.5602;0.2363;-22.3633;0.0601;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.6;-1.5602;0.2363;-22.3633;0.0626;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.56;-1.5362;0.2327;-22.0192;0.0592;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.56;-1.5362;0.2327;-22.0192;0.0613;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.65;-1.5902;0.2409;-22.7933;0.0592;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.65;-1.5902;0.2409;-22.7933;0.0613;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.71;-1.6262;0.2463;-23.3094;0.0603;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.71;-1.6262;0.2463;-23.3094;0.0626;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.61;-1.5662;0.2372;-22.4493;0.0603;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.61;-1.5662;0.2372;-22.4493;0.0626;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.65;-1.5902;0.2409;-22.7933;0.0633;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.65;-1.5902;0.2409;-22.7933;0.0613;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.74;-1.6442;0.249;-23.5675;0.0633;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.74;-1.6442;0.249;-23.5675;0.0613;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.87;-1.7222;0.2609;-24.6856;0.0663;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.87;-1.7222;0.2609;-24.6856;0.0624;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.7;-1.6202;0.2454;-23.2234;0.0663;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.7;-1.6202;0.2454;-23.2234;0.0624;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.89;-1.7342;0.2627;-24.8576;0.0668;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.89;-1.7342;0.2627;-24.8576;0.0633;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.74;-1.6442;0.249;-23.5675;0.0668;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.74;-1.6442;0.249;-23.5675;0.0633;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.96;-1.7762;0.269;-25.4597;0.0684;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.96;-1.7762;0.269;-25.4597;0.065;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.81;-1.6862;0.2554;-24.1695;0.0684;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.81;-1.6862;0.2554;-24.1695;0.065;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.16;-1.8962;0.2872;-27.18;0.0684;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.16;-1.8962;0.2872;-27.18;0.0731;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.96;-1.7762;0.269;-25.4597;0.0684;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;2.96;-1.7762;0.269;-25.4597;0.0731;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.29;-1.9742;0.299;-28.2981;0.0761;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.29;-1.9742;0.299;-28.2981;0.07;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.03;-1.8182;0.2754;-26.0618;0.0761;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.03;-1.8182;0.2754;-26.0618;0.07;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.0;-1.8002;0.2727;-25.8038;0.0754;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.0;-1.8002;0.2727;-25.8038;0.0694;912714198;GOAU3;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.26;-1.9562;0.2963;-28.0401;0.0754;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.26;-1.9562;0.2963;-28.0401;0.0694;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.24;-1.9442;0.2945;-27.8681;0.0682;912714198;GOAU4;8656
13.0164;8656;-1.6665;-1.3417;11.0022;0.0;3.24;-1.9442;0.2945;-27.8681;0.0749;912714198;GOAU4;8656
