assets_per_share;cvm_code;earnings_per_share;ebit_per_share;equity_per_share;net_sales_per_share;price;price_earnings;price_to_book;price_to_cash_flow;price_to_sales;shares;ticker;code_partition
"";8753;"";"";"";"";15.15;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";15.68;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";15.68;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";15.68;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.85;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";15.78;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";15.74;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";14.57;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";14.58;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";14.57;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.26;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.41;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.84;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.84;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.83;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.47;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.76;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.5;"";"";"";"";"";MTSA4;8753
"";8753;"";"";"";"";16.5;"";"";"";"";"";MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.44;7.0866;1.1091;5.0545;0.8558;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.32;7.0348;1.1011;5.0176;0.8495;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.85;7.2633;1.1368;5.1806;0.8771;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.32;7.0348;1.1011;5.0176;0.8495;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.32;7.0348;1.1011;5.0176;0.8495;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.26;7.009;1.097;4.9992;0.8464;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.26;7.009;1.097;4.9992;0.8464;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.26;7.009;1.097;4.9992;0.8464;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.15;6.9616;1.0896;4.9654;0.8407;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.02;6.9055;1.0808;4.9254;0.8339;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.32;7.0348;1.1011;5.0176;0.8495;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.31;7.0305;1.1004;5.0146;0.849;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.31;7.0305;1.1004;5.0146;0.849;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.31;7.0305;1.1004;5.0146;0.849;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;16.31;7.0305;1.1004;5.0146;0.849;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;15.21;6.5564;1.0262;4.6764;0.7917;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;15.21;6.5564;1.0262;4.6764;0.7917;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;15.15;6.5305;1.0221;4.6579;0.7886;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;15.13;6.5219;1.0208;4.6518;0.7876;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;15.13;6.5219;1.0208;4.6518;0.7876;9765564;MTSA4;8753
22.5053;8753;2.3199;2.4843;14.8222;19.2106;15.15;6.5305;1.0221;4.6579;0.7886;9765564;MTSA4;8753
26.4704;8753;2.0329;2.5693;16.0423;20.3362;15.79;7.7673;0.9843;9.7041;0.7764;9765564;MTSA4;8753
26.4704;8753;2.0329;2.5693;16.0423;20.3362;42.6;20.9554;2.6555;26.1809;2.0948;9765564;MTSA3;8753
26.4704;8753;2.0329;2.5693;16.0423;20.3362;16.81;8.269;1.0479;10.331;0.8266;9765564;MTSA4;8753
26.4704;8753;2.0329;2.5693;16.0423;20.3362;16.81;8.269;1.0479;10.331;0.8266;9765564;MTSA4;8753
26.4704;8753;2.0329;2.5693;16.0423;20.3362;16.81;8.269;1.0479;10.331;0.8266;9765564;MTSA4;8753
26.4704;8753;2.0329;2.5693;16.0423;20.3362;16.81;8.269;1.0479;10.331;0.8266;9765564;MTSA4;8753
26.4704;8753;2.0329;2.5693;16.0423;20.3362;48.16;23.6904;3.0021;29.5979;2.3682;9765564;MTSA3;8753
26.4704;8753;2.0329;2.5693;16.0423;20.3362;48.16;23.6904;3.0021;29.5979;2.3682;9765564;MTSA3;8753
